timestamp,gpsUtcTime,gpsUtcTimeFraction,gpsFixQual,gpsLatitude,gpsLongitude,gpsAltitudeMeters,gpsNumOfSatsTracked,gpsNumOfSatsInView,gpsGeoid,datetime
1722125211,1722125211,0,1,66.04808044,174.1391602,499202.375,28,14,6.199999809,2024/7/28 0:06
1722125812,1722125811,0,1,28.74039459,158.6978302,495389.9375,26,10,5.5,2024/7/28 0:16
1722126412,1722126411,0,1,-9.212656975,150.8960876,500625.8438,24,13,77.69999695,2024/7/28 0:26
1722127012,1722127011,0,1,-46.8882637,141.6150055,516903.125,25,12,-16.79999924,2024/7/28 0:36
1722127612,1722127612,0,1,-81.20685577,89.82387543,527010,25,11,-4.199999809,2024/7/28 0:46
1722128212,1722128212,0,1,-56.25471878,-24.16510582,517980.6563,21,11,11.30000019,2024/7/28 0:56
1722128812,1722128812,0,1,-18.7470932,-35.36636353,499304.1563,20,10,-8.699999809,2024/7/28 1:06
1722129412,1722129412,0,1,19.26108742,-43.00372314,490597.375,18,10,-16.79999924,2024/7/28 1:16
1722130012,1722130012,0,1,56.93177414,-54.42512894,495493.125,21,12,14.39999962,2024/7/28 1:26
1722130612,1722130612,0,1,80.6488266,-173.2067261,500075.5938,30,12,3.099999905,2024/7/28 1:36
1722131212,1722131212,0,1,45.72348404,139.7690887,496884.4375,25,10,25.89999962,2024/7/28 1:46
1722131813,1722131812,0,1,7.893358231,130.6348877,496512.5,29,13,63.79999924,2024/7/28 1:56
1722132413,1722132412,0,1,-29.99970436,122.793869,509054.2813,20,11,-20.70000076,2024/7/28 2:06
1722133013,1722133012,0,1,-67.03651428,106.7210693,524405.75,26,12,-13,2024/7/28 2:16
1722133613,1722133612,0,1,-72.42056274,-33.65750122,524283.7188,28,13,-2.400000095,2024/7/28 2:26
1722134213,1722134213,0,1,-35.75969315,-55.02602386,507516.875,19,10,11.5,2024/7/28 2:36
1722134813,1722134813,0,1,2.131535053,-63.1794548,492490.9063,21,11,-8.300000191,2024/7/28 2:46
1722135413,1722135413,0,1,40.07405853,-71.68613434,492425.6875,17,9,-34.59999847,2024/7/28 2:56
1722136013,1722136013,0,1,76.42794037,-100.5135727,499109.4688,26,12,-6.800000191,2024/7/28 3:06
1722136613,1722136613,0,1,62.44998169,124.0393906,499095.625,27,10,-12.30000019,2024/7/28 3:16
1722137214,1722137213,0,1,24.99202156,110.5749969,495546.375,23,11,-19.20000076,2024/7/28 3:26
1722137814,1722137813,0,1,-12.96452808,102.8826141,502114.875,25,13,-23.79999924,2024/7/28 3:36
1722138414,1722138413,0,1,-50.56716156,92.99793243,518485.125,16,13,9,2024/7/28 3:46
1722139014,1722139013,0,1,-82.52045441,17.37837601,526899.0625,29,11,-9.300000191,2024/7/28 3:56
1722139614,1722139614,0,1,-52.59757996,-73.10974121,516061.5,25,12,11.39999962,2024/7/28 4:06
1722140214,1722140214,0,1,-14.99149704,-83.40810394,497589.2813,23,12,-0.800000012,2024/7/28 4:16
1722140814,1722140814,0,1,23.023983,-91.07265472,490560.375,21,10,-25.5,2024/7/28 4:26
1722141414,1722141414,0,1,60.58951569,-103.7441254,496307.9688,21,11,-38.09999847,2024/7/28 4:36
1722142014,1722142014,0,1,77.98778534,124.7785187,500227.4688,26,13,-1.799999952,2024/7/28 4:46
1722142614,1722142614,0,1,42.00581741,91.32324219,496814.375,22,12,-62.09999847,2024/7/28 4:56
1722143215,1722143214,0,1,4.136806488,82.63546753,497641.0938,25,11,-100.6999969,2024/7/28 5:06
1722143815,1722143814,0,1,-33.71879578,74.61685181,511059.8125,19,10,7.599999905,2024/7/28 5:16
1722144415,1722144414,0,1,-70.51745605,55.52562714,525437.625,25,13,24.79999924,2024/7/28 5:26
1722145015,1722145014,0,1,-69.0515976,-85.54100037,523136.4688,28,13,-14.30000019,2024/7/28 5:36
1722145615,1722145615,0,1,-32.0416832,-103.2373505,505358.1875,23,12,-6.900000095,2024/7/28 5:46
1722146215,1722146215,0,1,5.891880035,-111.1755676,491473.5938,22,12,-27.89999962,2024/7/28 5:56
1722146815,1722146815,0,1,43.79926682,-120.0709076,492788.6563,19,11,-18.39999962,2024/7/28 6:06
1722147415,1722147415,0,1,79.37319183,-159.2874298,499416.4688,26,12,0.600000024,2024/7/28 6:16
1722148015,1722148015,0,1,58.8151207,74.50210571,498796.4063,23,12,-28.20000076,2024/7/28 6:26
1722148615,1722148615,0,1,21.24204826,62.49133682,495868.8125,21,10,-47.40000153,2024/7/28 6:36
1722149216,1722149215,0,1,-16.70905876,54.85550308,503833,21,12,-18.10000038,2024/7/28 6:46
1722149816,1722149815,0,1,-54.22338104,44.19370651,520209.625,16,10,45.40000153,2024/7/28 6:56
1722150416,1722150415,0,1,-82.13224792,-57.63279724,526720.4375,24,13,-25.39999962,2024/7/28 7:06
1722151016,1722151015,0,1,-48.93104172,-121.8256683,514054.3125,24,11,-10.80000019,2024/7/28 7:16
1722151616,1722151616,0,1,-11.24078178,-131.4289551,495848.6875,26,13,-8.5,2024/7/28 7:26
1722152216,1722152216,0,1,26.77636528,-139.1737671,490426.4688,21,11,-27,2024/7/28 7:36
1722152816,1722152816,0,1,64.20917511,-153.5265808,496799.7813,26,14,11.5,2024/7/28 7:46
1722153416,1722153416,0,1,74.85706329,68.32003021,500135.4375,26,14,-4.300000191,2024/7/28 7:56
1722154616,1722154616,0,1,0.379616678,34.63887787,498517.125,14,10,-15.60000038,2024/7/28 8:16
1722155217,1722155216,0,1,-37.43363571,26.37384987,512793.3438,17,9,30.70000076,2024/7/28 8:26
1722155817,1722155816,0,1,-73.89569855,2.805348396,526009,25,12,13.80000019,2024/7/28 8:36
1722156417,1722156416,0,1,-65.52839661,-136.2999268,521616.7813,26,13,-41.70000076,2024/7/28 8:46
1722157017,1722157016,0,1,-28.30545998,-151.3963928,503204.2188,25,14,-1.299999952,2024/7/28 8:56
1722157617,1722157617,0,1,9.66176796,-159.1834869,490711.2813,23,14,10.80000019,2024/7/28 9:06
1722158217,1722158217,0,1,47.52108765,-168.5830536,493392.8125,19,11,2.799999952,2024/7/28 9:16
1722158817,1722158817,0,1,81.64207458,134.7625427,499784.4375,27,13,2.400000095,2024/7/28 9:26
1722160617,1722160617,0,1,-20.45882607,6.802701473,505333.5,4,0,21.5,2024/7/28 9:56
1722162418,1722162417,0,1,-45.23134995,-170.3813019,511974.4375,19,11,-6.5,2024/7/28 10:26
1722163018,1722163018,0,1,-7.469961643,-179.4411011,494452.8125,25,11,26.79999924,2024/7/28 10:36
1722163618,1722163618,0,1,30.53786087,172.6787415,490735.8438,19,10,-7.800000191,2024/7/28 10:46
1722164218,1722164218,0,1,67.78993225,155.9967041,497554.6875,26,13,5.400000095,2024/7/28 10:56
1722164818,1722164818,0,1,71.48500824,14.94746685,500000.8125,19,12,39.5,2024/7/28 11:06
1722165418,1722165418,0,1,34.53739166,-5.280375004,496202.7188,21,12,41.79999924,2024/7/28 11:16
1722166018,1722166018,0,1,-3.387515068,-13.36009312,499335.75,24,12,18,2024/7/28 11:26
1722166618,1722166618,0,1,-41.15314865,-21.94930077,514340.7813,16,11,19.10000038,2024/7/28 11:36
1722167219,1722167218,0,1,-77.09545135,-52.52750015,526331.625,23,12,-13.89999962,2024/7/28 11:46
1722167819,1722167818,0,1,-61.93535995,173.7080841,520018.3438,27,12,-48.29999924,2024/7/28 11:56
1722168419,1722168418,0,1,-24.61273766,160.4987183,501340.9375,18,12,47.09999847,2024/7/28 12:06
1722169019,1722169018,0,1,13.44132137,152.7950134,490395.6875,21,12,39.29999924,2024/7/28 12:16
1722169619,1722169619,0,1,51.2382164,142.7501678,494228.3438,19,11,19.60000038,2024/7/28 12:26
1722170219,1722170219,0,1,82.58498383,60.33803558,500091.4063,26,11,16.10000038,2024/7/28 12:36
1722170819,1722170819,0,1,51.45166397,-23.52325058,497909.375,25,13,62.90000153,2024/7/28 12:46
1722171419,1722171419,0,1,13.71305847,-33.60283661,496174.8438,21,13,-3.900000095,2024/7/28 12:56
1722172019,1722172019,0,1,-24.21509171,-41.27732468,506615.3125,21,12,-10.30000019,2024/7/28 13:06
1722172619,1722172619,0,1,-61.50777435,-54.29350662,522546.8438,23,12,23.70000076,2024/7/28 13:16
1722173220,1722173219,0,1,-77.46237946,172.8904114,525354.9375,25,11,-55,2024/7/28 13:27
1722173820,1722173819,0,1,-41.57161331,141.2049561,510124.9688,24,9,-15.30000019,2024/7/28 13:37
1722174420,1722174419,0,1,-3.75232172,132.5667114,493486.5,25,11,61.5,2024/7/28 13:47
1722175020,1722175019,0,1,34.29958344,124.4818344,491341.8125,17,10,19.29999924,2024/7/28 13:57
1722175620,1722175620,0,1,71.30109406,104.4674911,498297.6875,27,11,-12.19999981,2024/7/28 14:07
1722176220,1722176220,0,1,67.98233795,-36.65960312,499701.2813,25,14,54.5,2024/7/28 14:17
1722176820,1722176820,0,1,30.78267288,-53.48124695,495883.1563,22,13,-27.39999962,2024/7/28 14:27
1722177420,1722177420,0,1,-7.1609869,-61.3621788,500268.1563,24,13,-0.600000024,2024/7/28 14:37
1722178020,1722178020,0,1,-44.8708725,-70.36686707,515939.9063,18,12,17.5,2024/7/28 14:47
1722178620,1722178620,0,1,-79.9262085,-112.5041275,526671.875,29,13,-38.20000076,2024/7/28 14:57
1722179221,1722179220,0,1,-58.30111694,124.2341537,518529.7188,30,10,-26.10000038,2024/7/28 15:07
1722179821,1722179820,0,1,-20.8507309,112.4138489,499873.6875,25,10,-22.89999962,2024/7/28 15:17
1722180421,1722180420,0,1,17.15442085,104.7727737,490490.4688,20,11,-25.5,2024/7/28 15:27
1722181021,1722181020,0,1,54.93714905,93.88961792,495232.8438,22,11,-37.20000076,2024/7/28 15:37
1722181621,1722181621,0,1,81.73433685,-14.37815475,500358.4688,20,13,30.5,2024/7/28 15:47
1722182221,1722182221,0,1,47.74542236,-72.1984024,497604.7188,26,13,-29.70000076,2024/7/28 15:57
1722182821,1722182821,0,1,9.947313309,-81.62232208,496631.6563,19,13,4.900000095,2024/7/28 16:07
1722183421,1722183421,0,1,-27.95819473,-89.38784027,508263.1563,15,11,1.899999976,2024/7/28 16:17
1722184021,1722184021,0,1,-65.0976181,-104.1993637,523724.7813,25,12,-24.70000076,2024/7/28 16:27
1722184621,1722184621,0,1,-74.29968262,117.1310883,524500.8125,31,12,-32.90000153,2024/7/28 16:37
1722185222,1722185221,0,1,-37.85177994,92.8706131,508202,27,12,-13.30000019,2024/7/28 16:47
1722185822,1722185821,0,1,0.018385001,84.56700897,492733.0625,26,12,-90.59999847,2024/7/28 16:57
1722186422,1722186421,0,1,37.98074341,76.24147034,492074.7188,17,9,-35.79999924,2024/7/28 17:07
1722187622,1722187622,0,1,64.41678619,-87.1704483,499703.1563,29,12,-38,2024/7/28 17:27
1722188222,1722188222,0,1,27.04041672,-101.6273193,495927.6563,16,11,-20.70000076,2024/7/28 17:37
1722188822,1722188822,0,1,-10.9112587,-109.3703003,501537,21,11,-6.900000095,2024/7/28 17:47
1722189422,1722189422,0,1,-48.55493927,-118.9035492,517498.9688,17,10,-10.19999981,2024/7/28 17:57
1722190022,1722190022,0,1,-81.96603394,179.9258881,526602.75,27,11,-47.79999924,2024/7/28 18:07
1722190622,1722190622,0,1,-54.65681458,75.13335419,516606.7813,28,13,33.90000153,2024/7/28 18:17
1722191223,1722191222,0,1,-17.09832382,64.35836029,498120.3125,26,12,-22.89999962,2024/7/28 18:27
1722191823,1722191822,0,1,20.91732025,56.71579361,490402.6875,23,14,-34.5,2024/7/28 18:37
1722193023,1722189749,1417339207,1,79.51769257,-80.76213074,500503.6875,9,0,11,2024/7/28 18:57
1722193623,1722190349,1417339207,1,44.03339005,-120.7125168,497251.7813,15,0,-19,2024/7/28 19:07
1722194223,1722190949,1417339207,1,6.188401699,-129.6294556,497277.3438,13,0,-22.60000038,2024/7/28 19:17
1722194823,1722191549,1417339207,1,-31.68685913,-137.5436554,509989.5,9,0,-10.5,2024/7/28 19:27
1722196023,1722192749,1417339207,1,-70.93249512,64.17211151,523302.4375,13,0,25,2024/7/28 19:47
1722196623,1722193349,1417339207,1,-34.12699127,44.62049103,506068.1875,17,0,32.90000153,2024/7/28 19:57
1722197223,1722193949,1417339207,1,3.787981749,36.56859207,491700.25,14,0,-16.60000038,2024/7/28 20:07
1722199024,1722195750,1417339207,1,60.79087448,-136.9841309,499102.875,5,0,9.899999619,2024/7/28 20:37
1722199624,1722196350,1417339207,1,23.27912331,-149.7324219,495781.5625,11,0,-9.899999619,2024/7/28 20:47
1722200224,1722196950,1417339207,1,-14.67490196,-157.394104,502835.4063,8,0,7.099999905,2024/7/28 20:57
1722201424,1722198150,1417339207,1,-82.55926514,104.6849518,526507.8125,10,0,-21.29999924,2024/7/28 21:17
1722202024,1722198750,1417339207,1,-50.97912216,26.29906845,514816.0313,12,0,37.20000076,2024/7/28 21:27
1722202624,1722199350,1417339207,1,-13.33152866,16.32604599,496528.6875,10,0,19.89999962,2024/7/28 21:37
1722203224,1722199950,1417339207,1,24.6870575,8.629833221,490319.875,9,0,35.59999847,2024/7/28 21:47
1722203824,1722200551,1417339207,1,62.2590332,-4.770645142,496477.8125,11,0,54.20000076,2024/7/28 21:57
1722204424,1722201151,1417339207,1,76.58542633,-139.8769836,500233.3438,9,0,-6.400000095,2024/7/28 22:07
1722205025,1722201751,1417339207,1,40.29270935,-169.1101074,496619.5625,17,0,-10.39999962,2024/7/28 22:17
1722205625,1722202351,1417339207,1,2.407848358,-177.6310272,497825.375,12,0,18,2024/7/28 22:27
1722206225,1722202951,1417339207,1,-35.43126297,174.2427673,511560.7813,12,0,37.90000153,2024/7/28 22:37
1722206825,1722203551,1417339207,1,-72.09255981,153.3051758,525460,12,0,-57.59999847,2024/7/28 22:47
1722207425,1722204151,1417339207,1,-67.42975616,12.802845,522135.2188,16,0,14.89999962,2024/7/28 22:57
1722208025,1722204751,1417339207,1,-30.37509918,-3.569088221,504200.875,15,0,17.89999962,2024/7/28 23:07
1722208625,1722205351,1417339207,1,7.574911594,-11.43523693,491039.7188,10,0,31.29999924,2024/7/28 23:17
1722209225,1722205951,1417339207,1,45.5242424,-20.56405067,493042.375,9,0,61.5,2024/7/28 23:27
1722209825,1722206552,1417339207,1,80.53859711,-66.78935242,499606.3438,7,0,9.5,2024/7/28 23:37
1722210425,1722207152,1417339207,1,57.11876678,173.6650391,498519.8125,19,0,2.099999905,2024/7/28 23:47
1722211026,1722207752,1417339207,1,19.50003624,162.1932526,495681.875,17,0,21.10000038,2024/7/28 23:57
1722211626,1722208352,1417339207,1,-18.45026779,154.5633545,504142.8438,16,0,59.09999847,2024/7/29 0:07
1722212226,1722208952,1417339207,1,-55.92264175,143.4598541,520573.0938,16,0,-22.60000038,2024/7/29 0:17
1722212826,1722209552,1417339207,1,-81.38945007,31.31098747,526218.375,16,0,1.899999976,2024/7/29 0:27
1722213426,1722210152,1417339207,1,-47.27019501,-22.34802246,513017.0938,16,0,18.39999962,2024/7/29 0:37
1722214026,1722210752,1417339207,1,-9.546981812,-31.69292068,495239.0625,13,0,-10.69999981,2024/7/29 0:47
1722215226,1722211952,1417339207,1,65.88323975,-54.84889221,497187.3125,8,0,27.39999962,2024/7/29 1:07
1722215826,1722212553,1417339207,1,73.30795288,165.2637024,500048.2188,15,0,1,2024/7/29 1:17
1722216426,1722213153,1417339207,1,36.53748322,142.5802307,496203.6563,18,0,16.60000038,2024/7/29 1:27
1722217027,1722213753,1417339207,1,-1.377514958,134.3684082,498565.3438,13,0,75.19999695,2024/7/29 1:37
1722217627,1722214353,1417339207,1,-39.17231369,125.9621582,513317.9063,9,0,-31,2024/7/29 1:47
1722218227,1722214953,1417339207,1,-75.42424011,99.52277374,526018.4375,12,0,-10.39999962,2024/7/29 1:57
1722218827,1722215553,1417339207,1,-63.85232925,-37.58252716,520786.875,15,0,15.80000019,2024/7/29 2:07
1722219427,1722216153,1417339207,1,-26.61156082,-51.71385574,502416.6875,19,0,6.199999809,2024/7/29 2:17
1722220027,1722216753,1417339207,1,11.36574173,-59.45029831,490749.625,14,0,-47.70000076,2024/7/29 2:27
1722220627,1722217353,1417339207,1,49.19652939,-69.12041473,493965.875,12,0,-26.29999924,2024/7/29 2:37
1722221227,1722217953,1417339207,1,82.29367828,-137.0116882,500089.9688,14,0,3.299999952,2024/7/29 2:47
1722221827,1722218554,1417339207,1,53.42686462,124.6437073,498280.4063,15,0,0,2024/7/29 2:57
1722222427,1722219154,1417339207,1,15.72638512,114.1438751,496027.2813,11,0,14.30000019,2024/7/29 3:07
1722223027,1722219754,1417339207,1,-22.21123314,106.4998627,505759.8438,13,0,-34.70000076,2024/7/29 3:17
1722223628,1722220354,1417339207,1,-59.57405853,94.24806213,521790.9688,8,0,4.5,2024/7/29 3:27
1722224228,1722220954,1417339207,1,-79.00722504,-33.41164398,525530,14,0,-14.80000019,2024/7/29 3:37
1722224828,1722221554,1417339207,1,-43.55298615,-70.85018158,510941.6875,21,0,19.29999924,2024/7/29 3:47
1722225428,1722222154,1417339207,1,-5.762523174,-79.70197296,493942.1563,16,0,14.19999981,2024/7/29 3:57
1722226028,1722222754,1417339207,1,32.23790741,-87.65933228,491058.1563,11,0,-29.10000038,2024/7/29 4:07
1722226628,1722223354,1417339207,1,69.38731384,-105.6862183,498021.5625,16,0,-30,2024/7/29 4:17
1722227228,1722223954,1417339207,1,69.85913849,112.8150482,500068.5,15,0,-11.19999981,2024/7/29 4:27
1722227828,1722224555,1417339207,1,32.7838974,94.34788513,496258.3125,14,0,-39.40000153,2024/7/29 4:37
1722228428,1722225155,1417339207,1,-5.148711681,86.37104797,499989.6563,9,0,-77.40000153,2024/7/29 4:47
1722229028,1722225755,1417339207,1,-42.88823318,77.60358429,515184.2813,9,0,20.89999962,2024/7/29 4:57
1722229629,1722226355,1417339207,1,-78.48110199,42.38328552,526465.375,7,0,7.699999809,2024/7/29 5:07
1722230229,1722226955,1417339207,1,-60.24474716,-87.30545807,519146.0938,21,0,-9.300000191,2024/7/29 5:17
1722230829,1722227555,1417339207,1,-22.85621452,-99.81360626,500381.25,17,0,-2.400000095,2024/7/29 5:27
1722231429,1722228155,1417339207,1,15.14530849,-107.4736023,490172.6563,14,0,-27.39999962,2024/7/29 5:37
1722232029,1722228755,1417339207,1,52.91184998,-117.862442,494530.125,15,0,-14.10000038,2024/7/29 5:47
1722232629,1722229355,1417339207,1,82.41898346,147.2832947,500249.4063,17,0,3.799999952,2024/7/29 5:57
1722233229,1722229955,1417339207,1,49.71794128,75.86703491,498021.0625,13,0,-38.90000153,2024/7/29 6:07
1722233829,1722230556,1417339207,1,11.95250511,66.1173172,496759.2188,11,0,-76.59999847,2024/7/29 6:17
1722234429,1722231156,1417339207,1,-25.9621067,58.40837097,507687.8438,10,0,2.200000048,2024/7/29 6:27
1722235029,1722231756,1417339207,1,-63.18555832,44.62710571,523239.375,9,0,30.20000076,2024/7/29 6:37
1722235630,1722232356,1417339207,1,-76.02474976,-91.44872284,524827.8125,16,0,-21.70000076,2024/7/29 6:47
1722236230,1722232956,1417339207,1,-39.8372879,-119.2300186,508821.3125,18,0,-12.69999981,2024/7/29 6:57
1722236830,1722233556,1417339207,1,-1.98789835,-127.701004,492592,13,0,-14.10000038,2024/7/29 7:07
1722237430,1722234156,1417339207,1,35.99503708,-135.8814087,491246.25,11,0,-36.90000153,2024/7/29 7:17
1722238030,1722234756,1417339207,1,72.85221863,-157.8935852,498463.75,12,0,-1.700000048,2024/7/29 7:27
1722238630,1722235356,1417339207,1,66.31253815,61.78442383,499830.375,14,0,-7.099999905,2024/7/29 7:37
1722239830,1722235722,1417339207,1,-8.91791153,38.3659935,501280.0625,5,0,12.69999981,2024/7/29 7:57
1722241030,1722237757,1417339207,1,-81.01079559,-20.79520607,526565.5625,11,0,-13.5,2024/7/29 8:17
1722241630,1722238357,1417339207,1,-56.59893417,-136.5845032,517268.75,16,0,-21.10000038,2024/7/29 8:27
1722242231,1722238957,1417339207,1,-19.09043121,-147.8829956,498431.4063,18,0,-2.299999952,2024/7/29 8:37
1722242831,1722239557,1417339207,1,18.9268589,-155.5206757,489823.4688,16,0,13.5,2024/7/29 8:47
1722243431,1722240157,1417339207,1,56.61112213,-166.8486938,495179.1563,15,0,13.10000038,2024/7/29 8:57
1722244030,1722240757,1417339207,1,80.8451767,75.87458038,500380.1875,16,0,6.5,2024/7/29 9:07
1722246430,1722243158,1417339207,1,-66.76455688,-5.611068249,524142.9375,9,0,9.100000381,2024/7/29 9:47
