Shift,Correlation,Shift_Hours,In_95_CI
-35,0.6405547180678637,-110.20383365293209,False
-34,0.6515337445096435,-107.05515269141975,False
-33,0.673334101776085,-103.9064717299074,False
-32,0.6985173088119871,-100.75779076839505,False
-31,0.6874618233520742,-97.60910980688271,False
-30,0.6979607413166802,-94.46042884537036,False
-29,0.7043000630576778,-91.31174788385802,False
-28,0.7186035144594257,-88.16306692234568,True
-27,0.7279022606175666,-85.01438596083332,True
-26,0.7335034400257489,-81.86570499932098,True
-25,0.7538436546052467,-78.71702403780864,True
-24,0.7542035084224162,-75.56834307629629,True
-23,0.7372939443098788,-72.41966211478395,True
-22,0.7384427949690424,-69.2709811532716,True
-21,0.7416347245022482,-66.12230019175925,True
-20,0.7492499628550481,-62.97361923024691,True
-19,0.7563189051002146,-59.82493826873456,True
-18,0.7561553001987075,-56.676257307222215,True
-17,0.7740540960644815,-53.527576345709875,True
-16,0.7533265196181573,-50.37889538419753,True
-15,0.7458465839391647,-47.23021442268518,True
-14,0.7439401903692731,-44.08153346117284,True
-13,0.7505862070614503,-40.93285249966049,True
-12,0.7573785725378523,-37.784171538148144,True
-11,0.7516870254514023,-34.6354905766358,True
-10,0.7573594207589481,-31.486809615123455,True
-9,0.7600580622550177,-28.338128653611108,True
-8,0.7232275739043708,-25.189447692098764,True
-7,0.7037373294312652,-22.04076673058642,False
-6,0.6878586339930024,-18.892085769074072,False
-5,0.673986759966702,-15.743404807561728,False
-4,0.661788361031313,-12.594723846049382,False
-3,0.6471955721638458,-9.446042884537036,False
-2,0.6579384619355231,-6.297361923024691,False
-1,0.6366476461819472,-3.1486809615123454,False
0,0.6046360526615129,0.0,False
1,0.5926301254347934,3.1486809615123454,False
2,0.581550774468245,6.297361923024691,False
