datetime,E_J2_mean_Jkg,n_samples,a_equiv_mean_km,kp,storm_kp6
2024-03-31 12:00:00,-28945196.42253807,15,6881.918520730135,1.0,False
2024-03-31 15:00:00,-28945371.311845794,18,6882.857218580968,1.333,False
2024-03-31 18:00:00,-28945403.9768287,16,6883.075539268473,1.0,False
2024-03-31 21:00:00,-28945178.763831493,18,6882.03384569915,2.333,False
2024-04-01 00:00:00,-28945277.7822899,18,6881.945138057903,1.667,False
2024-04-01 03:00:00,-28945550.97443472,18,6882.442222991405,3.333,False
2024-04-01 06:00:00,-28945610.149504382,17,6882.594829677358,3.667,False
2024-04-01 09:00:00,-28945609.82087834,16,6882.056301091075,1.667,False
2024-04-01 12:00:00,-28945583.89985668,18,6881.900811613179,1.667,False
2024-04-01 15:00:00,-28945813.040212642,18,6881.851289618317,2.0,False
2024-04-01 18:00:00,-28945986.067195825,13,6883.470909852819,2.333,False
2024-04-01 21:00:00,-28945710.777106967,18,6882.780399970149,1.333,False
2024-04-02 00:00:00,-28945653.042064644,18,6882.418618858531,1.0,False
2024-04-02 03:00:00,-28945943.16837083,18,6881.7936894919985,1.667,False
2024-04-02 06:00:00,-28945889.745447505,17,6882.090385476993,1.333,False
2024-04-02 09:00:00,-28945887.35483018,15,6881.255613730933,2.667,False
2024-04-02 12:00:00,-28945860.137425784,18,6882.748543405939,2.0,False
2024-04-02 15:00:00,-28946120.52767656,18,6882.2519198043055,2.0,False
2024-04-02 18:00:00,-28946100.128892846,15,6882.843847569634,1.667,False
2024-04-02 21:00:00,-28945969.226044886,16,6882.559980861281,1.0,False
2024-04-03 00:00:00,-28946045.7072834,18,6882.462077581663,2.667,False
2024-04-03 03:00:00,-28946354.116828527,18,6882.616292501932,2.333,False
2024-04-03 06:00:00,-28946223.406053416,16,6881.313936251129,1.333,False
2024-04-03 09:00:00,-28946359.2776043,12,6881.933881972647,0.667,False
2024-04-03 12:00:00,-28946241.35844105,17,6881.679741339099,1.667,False
2024-04-03 15:00:00,-28946410.98270237,17,6882.572427562764,1.667,False
2024-04-03 18:00:00,-28946442.740870986,16,6882.983279831186,0.667,False
2024-04-03 21:00:00,-28946363.646268953,16,6882.678476904025,0.333,False
2024-04-04 00:00:00,-28946285.187157948,18,6881.673080845917,0.0,False
2024-04-04 03:00:00,-28946512.73054125,18,6882.122703575739,0.667,False
2024-04-04 06:00:00,-28946714.547895074,16,6881.6664831869575,2.0,False
2024-04-04 09:00:00,-28946308.78699127,16,6881.6306255925465,2.667,False
2024-04-04 12:00:00,-28946432.521287765,18,6881.767309480001,2.667,False
2024-04-04 15:00:00,-28946739.456933174,15,6882.418190459055,3.0,False
2024-04-04 18:00:00,-28946593.7101791,15,6882.708735894758,3.0,False
2024-04-04 21:00:00,-28946505.432369787,18,6882.5986148671545,3.333,False
2024-04-05 00:00:00,-28946905.54086786,18,6882.211009121226,2.0,False
2024-04-05 03:00:00,-28946792.771765206,18,6881.642925176967,3.333,False
2024-04-05 06:00:00,-28946808.307071093,14,6881.236097483433,2.667,False
