bin_width,bin_width_minutes,metric,satellite,wavelength,sg_window_points,sg_window_hours_actual,n,r,p_value,peak_lag_hours
95min,95.0,density_corr_daily,Swarm_B,,,,234,0.819349128635952,5.5983960700780785e-58,
95min,95.0,density_corr_daily,GRACE-FO,,,,234,0.8816227999316303,1.3115598960678589e-77,
95min,95.0,euv_lag_peak,,304,25.0,39.583333333333336,3125,0.6322451721671857,,53.83333333333333
190min,190.0,density_corr_daily,Swarm_B,,,,234,0.8417041881200407,4.974701203841722e-64,
190min,190.0,density_corr_daily,GRACE-FO,,,,234,0.9024662306919636,8.046800522930639e-87,
190min,190.0,euv_lag_peak,,304,13.0,41.166666666666664,1578,0.6634127740811987,,50.666666666666664
3h,180.0,density_corr_daily,Swarm_B,,,,234,0.8476401874082453,8.518842839093438e-66,
3h,180.0,density_corr_daily,GRACE-FO,,,,234,0.9049013203337012,4.9563932411587887e-88,
3h,180.0,euv_lag_peak,,304,13.0,39.0,1663,0.6611959399056152,,45.0
6h,360.0,density_corr_daily,Swarm_B,,,,234,0.8794237266705536,9.710217738829043e-77,
6h,360.0,density_corr_daily,GRACE-FO,,,,234,0.9353848963564974,1.0262056954067344e-106,
6h,360.0,euv_lag_peak,,304,7.0,42.0,853,0.6880353286091734,,48.0
