datetime,panel,E_J2_Jkg,roll_median_Jkg,threshold_lo_Jkg,threshold_hi_Jkg,removed
2024-10-25 00:05:10+00:00,oct25,-29103258.40627908,-29103711.68893488,-29106651.322612483,-29100772.05525728,False
2024-10-25 00:15:10+00:00,oct25,-29103021.84927113,-29103711.68893488,-29106651.322612483,-29100772.05525728,False
2024-10-25 00:25:10+00:00,oct25,-29103680.261804413,-29103711.68893488,-29106651.322612483,-29100772.05525728,False
2024-10-25 00:35:10+00:00,oct25,-29103951.37668691,-29103844.61610457,-29106784.24978217,-29100904.982426967,False
2024-10-25 00:45:10+00:00,oct25,-29103711.68893488,-29103844.61610457,-29106784.24978217,-29100904.982426967,False
2024-10-25 00:55:10+00:00,oct25,-29104176.03349882,-29103711.68893488,-29106651.322612483,-29100772.05525728,False
2024-10-25 01:05:10+00:00,oct25,-29102954.894010745,-29103680.261804413,-29106619.895482015,-29100740.62812681,False
2024-10-25 01:15:10+00:00,oct25,-29104124.087142333,-29103711.68893488,-29106651.322612483,-29100772.05525728,False
2024-10-25 01:25:11+00:00,oct25,-29103963.580652736,-29103825.12308628,-29106764.756763883,-29100885.48940868,False
2024-10-25 01:35:11+00:00,oct25,-29103844.61610457,-29103825.12308628,-29106764.756763883,-29100885.48940868,False
2024-10-25 01:45:11+00:00,oct25,-29103234.20794036,-29103825.12308628,-29106764.756763883,-29100885.48940868,False
2024-10-25 01:55:11+00:00,oct25,-29103262.512053013,-29103835.387142085,-29106775.020819686,-29100895.753464483,False
2024-10-25 02:05:11+00:00,oct25,-29103373.203778047,-29103835.387142085,-29106775.020819686,-29100895.753464483,False
2024-10-25 02:15:11+00:00,oct25,-29103825.12308628,-29103844.61610457,-29106784.24978217,-29100904.982426967,False
2024-10-25 02:25:11+00:00,oct25,-29104528.79374898,-29103835.387142085,-29106775.020819686,-29100895.753464483,False
2024-10-25 02:35:11+00:00,oct25,-29103322.895030186,-29103835.387142085,-29106775.020819686,-29100895.753464483,False
2024-10-25 02:45:11+00:00,oct25,-29103835.387142085,-29103835.387142085,-29106775.020819686,-29100895.753464483,False
2024-10-25 02:55:11+00:00,oct25,-29104383.03666719,-29103968.83422269,-29106908.46790029,-29101029.200545087,False
2024-10-25 03:05:12+00:00,oct25,-29104355.62513295,-29103968.83422269,-29106908.46790029,-29101029.200545087,False
2024-10-25 03:15:12+00:00,oct25,-29104020.22755101,-29103968.83422269,-29106908.46790029,-29101029.200545087,False
2024-10-25 03:25:12+00:00,oct25,-29103396.89098442,-29104020.22755101,-29106959.86122861,-29101080.593873408,False
2024-10-25 03:35:12+00:00,oct25,-29103968.83422269,-29104020.22755101,-29106959.86122861,-29101080.593873408,False
2024-10-25 03:45:12+00:00,oct25,-29104349.806392245,-29104020.22755101,-29106959.86122861,-29101080.593873408,False
2024-10-25 03:55:12+00:00,oct25,-29104771.93847064,-29104020.22755101,-29106959.86122861,-29101080.593873408,False
2024-10-25 04:05:12+00:00,oct25,-29103759.46890039,-29103980.8339246,-29106920.4676022,-29101041.200246997,False
2024-10-25 04:15:12+00:00,oct25,-29103632.08699204,-29103980.8339246,-29106920.4676022,-29101041.200246997,False
2024-10-25 04:25:12+00:00,oct25,-29104270.979824536,-29103980.8339246,-29106920.4676022,-29101041.200246997,False
2024-10-25 04:35:12+00:00,oct25,-29104359.294526316,-29103980.8339246,-29106920.4676022,-29101041.200246997,False
2024-10-25 04:45:13+00:00,oct25,-28967434.63690101,-29103980.8339246,-29106920.4676022,-29101041.200246997,True
2024-10-25 04:55:13+00:00,oct25,-29103329.23294784,-29103980.8339246,-29106920.4676022,-29101041.200246997,False
2024-10-25 05:05:13+00:00,oct25,-29103980.8339246,-29103980.8339246,-29106920.4676022,-29101041.200246997,False
2024-10-25 05:15:13+00:00,oct25,-29104840.19620037,-29104118.138126977,-29107057.77180458,-29101178.504449375,False
2024-10-25 05:25:13+00:00,oct25,-29104518.232355848,-29104118.138126977,-29107057.77180458,-29101178.504449375,False
2024-10-25 05:35:13+00:00,oct25,-29103906.56470785,-29103980.8339246,-29106920.4676022,-29101041.200246997,False
2024-10-25 05:45:13+00:00,oct25,-29103607.920453344,-29103980.8339246,-29106920.4676022,-29101041.200246997,False
2024-10-25 05:55:13+00:00,oct25,-29104118.138126977,-29104118.138126977,-29107057.77180458,-29101178.504449375,False
2024-10-25 06:05:13+00:00,oct25,-29104603.902839825,-29104322.700349823,-29107262.334027424,-29101383.06667222,False
2024-10-25 06:15:13+00:00,oct25,-29104791.73929176,-29104322.700349823,-29107262.334027424,-29101383.06667222,False
2024-10-25 06:25:14+00:00,oct25,-29103690.24027091,-29104118.138126977,-29107057.77180458,-29101178.504449375,False
2024-10-25 06:35:14+00:00,oct25,-29103640.730315305,-29104118.138126977,-29107057.77180458,-29101178.504449375,False
2024-10-25 06:45:14+00:00,oct25,-29104322.700349823,-29104322.700349823,-29107262.334027424,-29101383.06667222,False
2024-10-25 06:55:14+00:00,oct25,-29104975.56874854,-29104322.700349823,-29107262.334027424,-29101383.06667222,False
2024-10-25 07:05:14+00:00,oct25,-29104590.940363504,-29104322.700349823,-29107262.334027424,-29101383.06667222,False
2024-10-25 07:15:14+00:00,oct25,-29103630.34097848,-29104040.24315869,-29106979.876836292,-29101100.60948109,False
2024-10-25 07:25:14+00:00,oct25,-29104040.24315869,-29103952.382738117,-29106892.01641572,-29101012.749060515,False
2024-10-25 07:35:14+00:00,oct25,-29104637.6426592,-29104040.24315869,-29106979.876836292,-29101100.60948109,False
2024-10-25 07:45:14+00:00,oct25,-29104638.54142028,-29104322.700349823,-29107262.334027424,-29101383.06667222,False
2024-10-25 07:55:15+00:00,oct25,-29103950.838258527,-29104218.77946129,-29107158.413138893,-29101279.14578369,False
2024-10-25 08:05:15+00:00,oct25,-29103474.111915026,-29104040.24315869,-29106979.876836292,-29101100.60948109,False
2024-10-25 08:15:15+00:00,oct25,-29103952.382738117,-29103952.382738117,-29106892.01641572,-29101012.749060515,False
2024-10-25 08:55:15+00:00,oct25,-29103641.197655763,-29104040.24315869,-29106979.876836292,-29101100.60948109,False
2024-05-10 00:00:21+00:00,gannon,-28966157.762285665,-28965931.942277357,-28968871.57595496,-28962992.308599755,False
2024-05-10 00:10:21+00:00,gannon,-28965677.184482142,-28965767.054813992,-28968706.688491594,-28962827.42113639,False
2024-05-10 00:20:21+00:00,gannon,-28965295.56988865,-28965677.184482142,-28968616.818159744,-28962737.55080454,False
2024-05-10 00:30:21+00:00,gannon,-28965376.66870058,-28965677.184482142,-28968616.818159744,-28962737.55080454,False
2024-05-10 00:40:21+00:00,gannon,-28965767.054813992,-28965677.184482142,-28968616.818159744,-28962737.55080454,False
2024-05-10 00:50:21+00:00,gannon,-28965547.18795951,-28965677.184482142,-28968616.818159744,-28962737.55080454,False
2024-05-10 01:00:21+00:00,gannon,-28966043.45238806,-28965624.351155948,-28968563.98483355,-28962684.717478346,False
2024-05-10 01:10:21+00:00,gannon,-28965283.800515845,-28965624.351155948,-28968563.98483355,-28962684.717478346,False
2024-05-10 01:20:21+00:00,gannon,-28965624.351155948,-28965624.351155948,-28968563.98483355,-28962684.717478346,False
2024-05-10 01:30:21+00:00,gannon,-28966311.56204094,-28965625.948658597,-28968565.5823362,-28962686.314980995,False
2024-05-10 01:40:21+00:00,gannon,-28966040.952436067,-28965629.91238013,-28968569.54605773,-28962690.278702527,False
2024-05-10 01:50:22+00:00,gannon,-28965403.400007837,-28965629.91238013,-28968569.54605773,-28962690.278702527,False
