mask,wavelength,peak_lag_hours,peak_r,n
quiet_dst30,256,21,0.7118273447973388,851
quiet_dst30,284,33,0.7633847032395649,850
quiet_dst30,304,33,0.7942473488463204,850
quiet_dst30,1175,33,0.8749501839326788,850
quiet_dst30,1216,30,0.8296996722893898,850
quiet_dst30,1335,33,0.8061343068824113,850
quiet_dst30,1405,33,0.8770137275988903,850
quiet_dst50,256,21,0.6602640638284548,1192
quiet_dst50,284,21,0.7126115649716183,1192
quiet_dst50,304,33,0.7371554849857379,1191
quiet_dst50,1175,33,0.8650203993148662,1191
quiet_dst50,1216,30,0.789872090705672,1191
quiet_dst50,1335,33,0.7699845522372052,1191
quiet_dst50,1405,33,0.8721048407867534,1191
