start,end,peak_kp,peak_time
2024-04-19 18:00:00,2024-04-19 21:00:00,7.0,2024-04-19 18:00:00
2024-05-02 15:00:00,2024-05-02 21:00:00,6.667,2024-05-02 15:00:00
2024-05-10 15:00:00,2024-05-12 06:00:00,9.0,2024-05-11 00:00:00
2024-05-12 21:00:00,2024-05-13 00:00:00,6.333,2024-05-12 21:00:00
2024-05-13 03:00:00,2024-05-13 06:00:00,6.0,2024-05-13 03:00:00
2024-05-16 06:00:00,2024-05-16 09:00:00,6.0,2024-05-16 06:00:00
2024-05-17 18:00:00,2024-05-17 21:00:00,6.0,2024-05-17 18:00:00
2024-06-07 12:00:00,2024-06-07 15:00:00,6.333,2024-06-07 12:00:00
2024-06-28 09:00:00,2024-06-28 15:00:00,7.667,2024-06-28 12:00:00
2024-08-04 12:00:00,2024-08-04 18:00:00,7.0,2024-08-04 15:00:00
2024-08-12 00:00:00,2024-08-12 18:00:00,8.0,2024-08-12 12:00:00
2024-08-12 21:00:00,2024-08-13 00:00:00,6.0,2024-08-12 21:00:00
2024-08-17 15:00:00,2024-08-17 18:00:00,6.333,2024-08-17 15:00:00
2024-09-12 09:00:00,2024-09-12 21:00:00,7.0,2024-09-12 18:00:00
2024-09-13 21:00:00,2024-09-14 00:00:00,6.0,2024-09-13 21:00:00
2024-09-17 00:00:00,2024-09-17 06:00:00,7.333,2024-09-17 00:00:00
2024-09-17 09:00:00,2024-09-17 12:00:00,6.333,2024-09-17 09:00:00
2024-10-07 18:00:00,2024-10-07 21:00:00,6.333,2024-10-07 18:00:00
2024-10-08 00:00:00,2024-10-08 06:00:00,7.0,2024-10-08 03:00:00
2024-10-10 15:00:00,2024-10-11 15:00:00,8.667,2024-10-10 21:00:00
