wavelength,window,geomag,p2_5,p16,p50,p84,p97_5,n_boot_valid
256,-1,all,15.0,15.0,27.0,75.0,99.0,500
284,-1,all,15.0,15.0,39.0,75.0,99.0,500
304,-1,all,15.0,15.0,39.0,75.0,87.0,500
1175,-1,all,12.0,15.0,15.0,60.0,87.0,500
1216,-1,all,12.0,12.0,60.0,84.0,84.0,500
1335,-1,all,15.0,15.0,39.0,75.0,111.0,500
1405,-1,all,15.0,15.0,39.0,39.0,87.0,500
256,-1,quiet_kp4,15.0,15.0,24.0,39.0,111.0,500
284,-1,quiet_kp4,15.0,15.0,15.0,111.0,111.0,500
304,-1,quiet_kp4,15.0,15.0,15.0,39.0,111.0,500
1175,-1,quiet_kp4,12.0,15.0,15.0,39.0,111.0,500
1216,-1,quiet_kp4,12.0,12.0,15.0,36.0,108.0,500
1335,-1,quiet_kp4,15.0,15.0,15.0,39.0,111.0,500
1405,-1,quiet_kp4,15.0,15.0,15.0,39.0,111.0,500
256,13,all,6.0,9.0,33.0,69.0,93.0,500
284,13,all,6.0,21.0,45.0,72.0,93.0,500
304,13,all,6.0,9.0,48.0,57.479999999999905,102.0,500
1175,13,all,6.0,24.0,33.0,54.0,67.57499999999993,500
1216,13,all,6.0,6.0,46.5,57.839999999999236,102.0,500
1335,13,all,6.0,21.0,48.0,57.0,99.14999999999986,500
1405,13,all,6.0,12.0,33.0,51.0,58.57499999999993,500
256,13,quiet_kp4,6.0,6.0,30.0,45.0,96.0,500
284,13,quiet_kp4,6.0,6.0,40.5,96.0,117.0,500
304,13,quiet_kp4,6.0,6.0,33.0,48.0,117.0,500
1175,13,quiet_kp4,6.0,27.0,33.0,45.0,78.0,500
1216,13,quiet_kp4,6.0,6.0,30.0,54.0,102.0,500
1335,13,quiet_kp4,6.0,21.0,33.0,51.0,117.0,500
1405,13,quiet_kp4,6.0,21.0,33.0,36.0,96.0,500
