wavelength,window,geomag,period,lag_hours,spearman_r,n
256,-1,all,full,0,0.21453592351701595,1665
256,-1,all,full,3,0.22665087985668264,1664
256,-1,all,full,6,0.2136952806170799,1663
256,-1,all,full,9,0.2050404555923919,1662
256,-1,all,full,12,0.22029827602356558,1661
256,-1,all,full,15,0.2376295339140769,1660
256,-1,all,full,18,0.22190704239662318,1659
256,-1,all,full,21,0.2102515014975532,1658
256,-1,all,full,24,0.22615642853161544,1657
256,-1,all,full,27,0.23571068429651734,1656
256,-1,all,full,30,0.2242474832899218,1655
256,-1,all,full,33,0.21431620944572843,1654
256,-1,all,full,36,0.2264752058429136,1653
256,-1,all,full,39,0.23933951073134577,1652
256,-1,all,full,42,0.22342437490442296,1651
256,-1,all,full,45,0.2118487198108178,1651
256,-1,all,full,48,0.22548319957101487,1651
256,-1,all,full,51,0.2336500814013159,1651
256,-1,all,full,54,0.2207348850268909,1651
256,-1,all,full,57,0.20914746270678475,1651
256,-1,all,full,60,0.21920772941192002,1651
256,-1,all,full,63,0.23123448780630662,1650
256,-1,all,full,66,0.21821903616998614,1649
256,-1,all,full,69,0.20525126186173884,1647
256,-1,all,full,72,0.22130489060287487,1645
256,-1,all,full,75,0.2306651361592227,1643
256,-1,all,full,78,0.21203488899728107,1641
256,-1,all,full,81,0.20154111453014711,1639
256,-1,all,full,84,0.21801228803572226,1637
256,-1,all,full,87,0.22364299739143112,1636
256,-1,all,full,90,0.2040516231654661,1636
256,-1,all,full,93,0.19207166128679284,1636
256,-1,all,full,96,0.20991193683857173,1636
256,-1,all,full,99,0.21517623053077786,1636
256,-1,all,full,102,0.19015867790197513,1636
256,-1,all,full,105,0.174942789440105,1636
256,-1,all,full,108,0.1906043233174014,1636
256,-1,all,full,111,0.2028173958767501,1635
256,-1,all,full,114,0.1774097166683781,1633
256,-1,all,full,117,0.16354706526229335,1631
256,-1,all,full,120,0.18930024551147828,1629
284,-1,all,full,0,0.2429704834116599,1665
284,-1,all,full,3,0.25677105015649815,1664
284,-1,all,full,6,0.2440889778395558,1663
284,-1,all,full,9,0.23407951240525818,1662
284,-1,all,full,12,0.2500489721248146,1661
284,-1,all,full,15,0.26896162960951914,1660
284,-1,all,full,18,0.25118861045694,1659
284,-1,all,full,21,0.23661849743767854,1658
284,-1,all,full,24,0.25190206623179745,1657
284,-1,all,full,27,0.262904602374846,1656
284,-1,all,full,30,0.2532747713570197,1655
284,-1,all,full,33,0.24255733776337182,1654
284,-1,all,full,36,0.2550793393908255,1653
284,-1,all,full,39,0.27015535927108086,1652
284,-1,all,full,42,0.2533455920830804,1651
284,-1,all,full,45,0.2402762538409142,1651
284,-1,all,full,48,0.25507475841921323,1651
284,-1,all,full,51,0.2662694278896068,1651
284,-1,all,full,54,0.2546631054785332,1651
284,-1,all,full,57,0.2425492084320324,1651
284,-1,all,full,60,0.2525380771637278,1651
284,-1,all,full,63,0.26553792873920085,1650
284,-1,all,full,66,0.25182227373620214,1649
284,-1,all,full,69,0.2385971880809007,1647
284,-1,all,full,72,0.2559153493108884,1645
284,-1,all,full,75,0.26657121233268594,1643
284,-1,all,full,78,0.2466876128678853,1641
284,-1,all,full,81,0.2352819957910808,1639
284,-1,all,full,84,0.25244493443297683,1637
284,-1,all,full,87,0.26062910041213583,1636
284,-1,all,full,90,0.24072923785286077,1636
284,-1,all,full,93,0.22604924256599115,1636
284,-1,all,full,96,0.24554616508888835,1636
284,-1,all,full,99,0.2525713630027513,1636
284,-1,all,full,102,0.22885895669550418,1636
284,-1,all,full,105,0.2149419031589278,1636
284,-1,all,full,108,0.2316261874273396,1636
284,-1,all,full,111,0.2443894115745529,1635
284,-1,all,full,114,0.21976747272365973,1633
284,-1,all,full,117,0.20370795913088638,1631
284,-1,all,full,120,0.22819039516324538,1629
304,-1,all,full,0,0.2449358563591757,1665
304,-1,all,full,3,0.2545238453912537,1664
304,-1,all,full,6,0.24466153189057024,1663
304,-1,all,full,9,0.23907939666846717,1662
304,-1,all,full,12,0.2524366902097203,1661
304,-1,all,full,15,0.267780065066823,1660
304,-1,all,full,18,0.2526815958814065,1659
304,-1,all,full,21,0.24137687912525857,1658
304,-1,all,full,24,0.2568817402855057,1657
304,-1,all,full,27,0.2629402167934588,1656
304,-1,all,full,30,0.25195448365677137,1655
304,-1,all,full,33,0.24663821640715755,1654
304,-1,all,full,36,0.26059173716678513,1653
304,-1,all,full,39,0.27261443029602206,1652
304,-1,all,full,42,0.2584864781555026,1651
304,-1,all,full,45,0.24843205373300128,1651
304,-1,all,full,48,0.26107080694562346,1651
304,-1,all,full,51,0.26757300620105906,1651
304,-1,all,full,54,0.25586369855954805,1651
304,-1,all,full,57,0.24921506359648624,1651
304,-1,all,full,60,0.2596150306386527,1651
304,-1,all,full,63,0.2682885860647616,1650
304,-1,all,full,66,0.25541278862205935,1649
304,-1,all,full,69,0.24268597057972677,1647
304,-1,all,full,72,0.2580823752929601,1645
304,-1,all,full,75,0.2659884922655534,1643
304,-1,all,full,78,0.24676847340188907,1641
304,-1,all,full,81,0.23747382644092419,1639
304,-1,all,full,84,0.2547766017370951,1637
304,-1,all,full,87,0.25952167920082647,1636
304,-1,all,full,90,0.23908980128926507,1636
304,-1,all,full,93,0.2261702196726276,1636
304,-1,all,full,96,0.24398535651927836,1636
304,-1,all,full,99,0.24799604193513106,1636
304,-1,all,full,102,0.22356683859763293,1636
304,-1,all,full,105,0.2138304040676195,1636
304,-1,all,full,108,0.2298921319895202,1636
304,-1,all,full,111,0.24063881136468912,1635
304,-1,all,full,114,0.21620909518945525,1633
304,-1,all,full,117,0.20204978104883706,1631
304,-1,all,full,120,0.2267864512619283,1629
1175,-1,all,full,0,0.3070391514194036,1665
1175,-1,all,full,3,0.30788373454864737,1664
1175,-1,all,full,6,0.29034141356471604,1663
1175,-1,all,full,9,0.2965033932143811,1662
1175,-1,all,full,12,0.3210846083765835,1661
1175,-1,all,full,15,0.3314680025597128,1660
1175,-1,all,full,18,0.30685557272377906,1659
1175,-1,all,full,21,0.2933398747099952,1658
1175,-1,all,full,24,0.3143326035855078,1657
1175,-1,all,full,27,0.316778333644213,1656
1175,-1,all,full,30,0.2981040830845093,1655
1175,-1,all,full,33,0.29748749854860557,1654
1175,-1,all,full,36,0.3208773773483544,1653
1175,-1,all,full,39,0.330020943767882,1652
1175,-1,all,full,42,0.31002815414933393,1651
1175,-1,all,full,45,0.30320290946208467,1651
1175,-1,all,full,48,0.31917812069153323,1651
1175,-1,all,full,51,0.3182673592255869,1651
1175,-1,all,full,54,0.2954905417550553,1651
1175,-1,all,full,57,0.29896836647937675,1651
1175,-1,all,full,60,0.32221091866894613,1651
1175,-1,all,full,63,0.3226578241668275,1650
1175,-1,all,full,66,0.3048076290051421,1649
1175,-1,all,full,69,0.2958368554413418,1647
1175,-1,all,full,72,0.3114560451535903,1645
1175,-1,all,full,75,0.31330695641618184,1643
1175,-1,all,full,78,0.2909234220301819,1641
1175,-1,all,full,81,0.2885834060085165,1639
1175,-1,all,full,84,0.3131559240167778,1637
1175,-1,all,full,87,0.3103812040864249,1636
1175,-1,all,full,90,0.2841306847082528,1636
1175,-1,all,full,93,0.273091477138995,1636
1175,-1,all,full,96,0.29427467155423964,1636
1175,-1,all,full,99,0.2956904358517891,1636
1175,-1,all,full,102,0.26595818251903003,1636
1175,-1,all,full,105,0.2643282253821255,1636
1175,-1,all,full,108,0.2891192145060386,1636
1175,-1,all,full,111,0.2977171914079792,1635
1175,-1,all,full,114,0.2682099351533418,1633
1175,-1,all,full,117,0.2545250487830405,1631
1175,-1,all,full,120,0.2813849328000431,1629
1216,-1,all,full,0,0.2909484245881304,1665
1216,-1,all,full,3,0.26410307718560877,1664
1216,-1,all,full,6,0.22820179140707725,1663
1216,-1,all,full,9,0.2650379244782406,1662
1216,-1,all,full,12,0.3118389466904189,1661
1216,-1,all,full,15,0.2860918206675786,1660
1216,-1,all,full,18,0.2448757171795176,1659
1216,-1,all,full,21,0.26644807598062176,1658
1216,-1,all,full,24,0.29920806371611036,1657
1216,-1,all,full,27,0.268887005554322,1656
1216,-1,all,full,30,0.2323400415070998,1655
1216,-1,all,full,33,0.27029698721175704,1654
1216,-1,all,full,36,0.3177363122122722,1653
1216,-1,all,full,39,0.28991057442754525,1652
1216,-1,all,full,42,0.2470117897583532,1651
1216,-1,all,full,45,0.2699930871210733,1651
1216,-1,all,full,48,0.30169636849204445,1651
1216,-1,all,full,51,0.27192722398381014,1651
1216,-1,all,full,54,0.2355164867162732,1651
1216,-1,all,full,57,0.2733911730868891,1651
1216,-1,all,full,60,0.31628380161144076,1651
1216,-1,all,full,63,0.2840247674855144,1650
1216,-1,all,full,66,0.24549692851908964,1649
1216,-1,all,full,69,0.2674935581388537,1647
1216,-1,all,full,72,0.30046854732402645,1645
1216,-1,all,full,75,0.27190616385758315,1643
1216,-1,all,full,78,0.22919493517661066,1641
1216,-1,all,full,81,0.26545989341045817,1639
1216,-1,all,full,84,0.3146844318676028,1637
1216,-1,all,full,87,0.27852188414992307,1636
1216,-1,all,full,90,0.2338573167053574,1636
1216,-1,all,full,93,0.255699403899174,1636
1216,-1,all,full,96,0.2903586735253794,1636
1216,-1,all,full,99,0.2586490128810445,1636
1216,-1,all,full,102,0.21219008505956163,1636
1216,-1,all,full,105,0.24612228074019607,1636
1216,-1,all,full,108,0.29374286722128123,1636
1216,-1,all,full,111,0.2615923041571052,1635
1216,-1,all,full,114,0.21276582634858823,1633
1216,-1,all,full,117,0.23234523844557178,1631
1216,-1,all,full,120,0.27264082001905277,1629
1335,-1,all,full,0,0.26320307488899924,1665
1335,-1,all,full,3,0.27170514737411916,1664
1335,-1,all,full,6,0.2619530566524332,1663
1335,-1,all,full,9,0.25570715917075876,1662
1335,-1,all,full,12,0.2672671092850483,1661
1335,-1,all,full,15,0.2853785250732247,1660
1335,-1,all,full,18,0.27190473360886186,1659
1335,-1,all,full,21,0.25661443996291095,1658
1335,-1,all,full,24,0.27099143881209503,1657
1335,-1,all,full,27,0.2800890984074373,1656
1335,-1,all,full,30,0.27060209278418246,1655
1335,-1,all,full,33,0.26157268325836913,1654
1335,-1,all,full,36,0.2733331414751904,1653
1335,-1,all,full,39,0.2897294543307531,1652
1335,-1,all,full,42,0.2795854832475679,1651
1335,-1,all,full,45,0.2665953318001897,1651
1335,-1,all,full,48,0.275149990807271,1651
1335,-1,all,full,51,0.2840425769346095,1651
1335,-1,all,full,54,0.27453563119117635,1651
1335,-1,all,full,57,0.2651370383253474,1651
1335,-1,all,full,60,0.2747181418608084,1651
1335,-1,all,full,63,0.2854589872292799,1650
1335,-1,all,full,66,0.2751852228502979,1649
1335,-1,all,full,69,0.2581708715688737,1647
1335,-1,all,full,72,0.2697766946392,1645
1335,-1,all,full,75,0.28068465161181994,1643
1335,-1,all,full,78,0.26501885369921535,1641
1335,-1,all,full,81,0.2526037121060857,1639
1335,-1,all,full,84,0.26671773336911575,1637
1335,-1,all,full,87,0.2752074638577674,1636
1335,-1,all,full,90,0.258144205319504,1636
1335,-1,all,full,93,0.2421644405931742,1636
1335,-1,all,full,96,0.25835979855985336,1636
1335,-1,all,full,99,0.26597916660985815,1636
1335,-1,all,full,102,0.24296644284321578,1636
1335,-1,all,full,105,0.23185871702413635,1636
1335,-1,all,full,108,0.2459887356512509,1636
1335,-1,all,full,111,0.26006150508926074,1635
1335,-1,all,full,114,0.23781384121247912,1633
1335,-1,all,full,117,0.21908347293207814,1631
1335,-1,all,full,120,0.24072946620484156,1629
1405,-1,all,full,0,0.3113499063866711,1665
1405,-1,all,full,3,0.320398895241048,1664
1405,-1,all,full,6,0.30583977161585535,1663
1405,-1,all,full,9,0.2998981543685072,1662
1405,-1,all,full,12,0.3132551671725797,1661
1405,-1,all,full,15,0.3302763118649684,1660
1405,-1,all,full,18,0.3185835286166556,1659
1405,-1,all,full,21,0.30478535836972726,1658
1405,-1,all,full,24,0.31590659611871474,1657
1405,-1,all,full,27,0.32154649337099617,1656
1405,-1,all,full,30,0.31026869755921965,1655
1405,-1,all,full,33,0.3002785755774017,1654
1405,-1,all,full,36,0.31754346130259076,1653
1405,-1,all,full,39,0.3336311233976399,1652
1405,-1,all,full,42,0.31794602834773666,1651
1405,-1,all,full,45,0.30714131724407984,1651
1405,-1,all,full,48,0.317568762480013,1651
1405,-1,all,full,51,0.3210228687634266,1651
1405,-1,all,full,54,0.30716729953617716,1651
1405,-1,all,full,57,0.30035916839066445,1651
1405,-1,all,full,60,0.31298217597163275,1651
1405,-1,all,full,63,0.32229057601457006,1650
1405,-1,all,full,66,0.3113420527672767,1649
1405,-1,all,full,69,0.2975493095658379,1647
1405,-1,all,full,72,0.3073726329036798,1645
1405,-1,all,full,75,0.3120845329676949,1643
1405,-1,all,full,78,0.2945246173442302,1641
1405,-1,all,full,81,0.2855796601499663,1639
