wavelength,window,geomag,period,peak_lag_hours,peak_r,n
256,-1,all,full,39,0.23933951073134577,1652
284,-1,all,full,39,0.27015535927108086,1652
304,-1,all,full,39,0.27261443029602206,1652
1175,-1,all,full,15,0.3314680025597128,1660
1216,-1,all,full,36,0.3177363122122722,1653
1335,-1,all,full,39,0.2897294543307531,1652
1405,-1,all,full,39,0.3336311233976399,1652
256,-1,quiet_kp4,full,15,0.23383927903850799,858
284,-1,quiet_kp4,full,15,0.2549817348618701,858
304,-1,quiet_kp4,full,15,0.27968434400298,858
1175,-1,quiet_kp4,full,15,0.3470919032649247,858
1216,-1,quiet_kp4,full,12,0.30762338731073396,857
1335,-1,quiet_kp4,full,15,0.2978903682103924,858
1405,-1,quiet_kp4,full,15,0.3424275554510298,858
256,-1,quiet_kp3,full,27,0.1914613628443076,404
284,-1,quiet_kp3,full,75,0.20686208707982257,388
304,-1,quiet_kp3,full,39,0.2127628781828622,402
1175,-1,quiet_kp3,full,18,0.2743921108899157,403
1216,-1,quiet_kp3,full,12,0.26495617303665847,404
1335,-1,quiet_kp3,full,18,0.23817141352667173,403
1405,-1,quiet_kp3,full,18,0.2868019922987817,403
256,-1,all,2404,15,0.27963942662923014,201
284,-1,all,2404,15,0.3003517068124723,201
304,-1,all,2404,15,0.2962952563913108,201
1175,-1,all,2404,15,0.3035481010787646,201
1216,-1,all,2404,12,0.2855199202737714,202
1335,-1,all,2404,15,0.2758238510418206,201
1405,-1,all,2404,15,0.3045854883995862,201
256,-1,quiet_kp4,2404,15,0.22698446591576363,131
284,-1,quiet_kp4,2404,15,0.25665403298991085,131
304,-1,quiet_kp4,2404,15,0.2352319436288902,131
1175,-1,quiet_kp4,2404,111,0.25623995052566484,99
1216,-1,quiet_kp4,2404,36,0.24941620771046416,124
1335,-1,quiet_kp4,2404,39,0.2017773535746992,123
1405,-1,quiet_kp4,2404,15,0.2525543159130946,131
256,-1,quiet_kp3,2404,111,0.4880902043692741,44
284,-1,quiet_kp3,2404,111,0.5109231853417899,44
304,-1,quiet_kp3,2404,111,0.5465821000704721,44
1175,-1,quiet_kp3,2404,111,0.5594080338266385,44
1216,-1,quiet_kp3,2404,111,0.5162790697674419,44
1335,-1,quiet_kp3,2404,111,0.5495419309372798,44
1405,-1,quiet_kp3,2404,111,0.5423537702607469,44
256,-1,all,2405,42,0.18117778772951187,175
284,-1,all,2405,30,0.17121361397223467,175
304,-1,all,2405,54,0.20370801612180925,175
1175,-1,all,2405,18,0.1940550828481863,175
1216,-1,all,2405,84,0.22850201522615315,175
1335,-1,all,2405,54,0.20429690998656516,175
1405,-1,all,2405,9,0.17570532915360504,175
256,-1,quiet_kp4,2405,42,0.23428571428571426,49
284,-1,quiet_kp4,2405,6,0.23551020408163262,49
304,-1,quiet_kp4,2405,6,0.27816326530612245,49
1175,-1,quiet_kp4,2405,111,0.30489795918367346,49
1216,-1,quiet_kp4,2405,108,0.3171428571428571,49
1335,-1,quiet_kp4,2405,81,0.2908163265306122,49
1405,-1,quiet_kp4,2405,51,0.2504081632653061,49
256,-1,quiet_kp3,2405,30,0.2905982905982906,27
284,-1,quiet_kp3,2405,30,0.2741147741147741,27
304,-1,quiet_kp3,2405,18,0.36080586080586086,27
1175,-1,quiet_kp3,2405,18,0.35836385836385837,27
1216,-1,quiet_kp3,2405,108,0.3827838827838828,27
1335,-1,quiet_kp3,2405,18,0.39316239316239315,27
1405,-1,quiet_kp3,2405,36,0.3101343101343101,27
256,-1,all,2406,30,0.10739580081648538,218
284,-1,all,2406,15,0.11332050323484119,218
304,-1,all,2406,18,0.11040853805796014,218
1175,-1,all,2406,69,0.10758344535055647,218
1216,-1,all,2406,12,0.1194490663815705,218
1335,-1,all,2406,18,0.09203674821288851,218
1405,-1,all,2406,21,0.12756179673116272,218
256,-1,quiet_kp4,2406,30,0.156028431028431,111
284,-1,quiet_kp4,2406,60,0.12707967707967707,111
304,-1,quiet_kp4,2406,42,0.11162688662688663,111
1175,-1,quiet_kp4,2406,93,0.11740084240084239,111
1216,-1,quiet_kp4,2406,60,0.0875131625131625,111
1335,-1,quiet_kp4,2406,42,0.09105826605826606,111
1405,-1,quiet_kp4,2406,42,0.1601965601965602,111
256,-1,quiet_kp3,2406,30,0.12477951635846372,75
284,-1,quiet_kp3,2406,15,0.12546230440967282,75
304,-1,quiet_kp3,2406,30,0.14307254623044097,75
1175,-1,quiet_kp3,2406,9,0.1166429587482219,75
1216,-1,quiet_kp3,2406,60,0.07342816500711237,75
1335,-1,quiet_kp3,2406,42,0.0757325746799431,75
1405,-1,quiet_kp3,2406,18,0.15092460881934563,75
256,-1,all,2407,36,0.10157653941348535,200
284,-1,all,2407,72,0.11375564523538599,204
304,-1,all,2407,36,0.08676666916672918,200
1175,-1,all,2407,36,0.10562514062851572,200
1216,-1,all,2407,36,0.14962424060601515,200
1335,-1,all,2407,102,0.09356465295092697,205
1405,-1,all,2407,120,0.09586192761377048,204
256,-1,quiet_kp4,2407,36,0.12335564616172778,162
284,-1,quiet_kp4,2407,72,0.12768460887644212,166
304,-1,quiet_kp4,2407,54,0.09414118094588479,166
1175,-1,quiet_kp4,2407,87,0.10620539374873865,162
1216,-1,quiet_kp4,2407,36,0.13980871089433372,162
1335,-1,quiet_kp4,2407,102,0.09778463726591567,167
1405,-1,quiet_kp4,2407,15,0.10907600051371724,162
256,-1,quiet_kp3,2407,120,0.12127396413110698,99
284,-1,quiet_kp3,2407,69,0.11079790331974373,101
304,-1,quiet_kp3,2407,102,0.09633889919604205,99
1175,-1,quiet_kp3,2407,111,0.13016501650165016,100
1216,-1,quiet_kp3,2407,36,0.1257450420835892,94
1335,-1,quiet_kp3,2407,90,0.11431045145330858,99
1405,-1,quiet_kp3,2407,15,0.09556563516457281,93
256,-1,all,2408,15,0.1792183116211785,242
284,-1,all,2408,39,0.18654756627848543,242
304,-1,all,2408,54,0.16362247734057117,242
1175,-1,all,2408,57,0.15292833612964382,242
1216,-1,all,2408,60,0.26707876789606955,242
1335,-1,all,2408,42,0.15715264891676312,242
1405,-1,all,2408,6,0.19374642523139948,242
256,-1,quiet_kp4,2408,36,0.15034895314057828,119
284,-1,quiet_kp4,2408,54,0.18809286426434985,119
304,-1,quiet_kp4,2408,90,0.15261358780800457,119
1175,-1,quiet_kp4,2408,33,0.16707733941034042,119
1216,-1,quiet_kp4,2408,84,0.2698048711009828,119
1335,-1,quiet_kp4,2408,45,0.15958552912690502,119
1405,-1,quiet_kp4,2408,66,0.17946873664720128,119
256,-1,quiet_kp3,2408,84,0.13357142857142856,49
284,-1,quiet_kp3,2408,90,0.15346938775510202,49
304,-1,quiet_kp3,2408,108,0.16010204081632654,49
1175,-1,quiet_kp3,2408,21,0.16887755102040813,49
1216,-1,quiet_kp3,2408,108,0.2737755102040816,49
1335,-1,quiet_kp3,2408,69,0.19857142857142854,49
1405,-1,quiet_kp3,2408,69,0.1913265306122449,49
256,-1,all,2409,30,0.15797746327738407,212
284,-1,all,2409,21,0.1613603646379754,212
304,-1,all,2409,69,0.1579434579398055,212
