date,n_samples
2024-03-31 00:00:00+00:00,67
2024-04-01 00:00:00+00:00,137
2024-04-02 00:00:00+00:00,135
2024-04-03 00:00:00+00:00,130
2024-04-04 00:00:00+00:00,134
2024-04-05 00:00:00+00:00,121
2024-04-06 00:00:00+00:00,103
2024-04-07 00:00:00+00:00,127
2024-04-08 00:00:00+00:00,125
2024-04-09 00:00:00+00:00,134
2024-04-10 00:00:00+00:00,129
2024-04-11 00:00:00+00:00,133
2024-04-12 00:00:00+00:00,124
2024-04-13 00:00:00+00:00,129
2024-04-14 00:00:00+00:00,140
2024-04-15 00:00:00+00:00,134
2024-04-16 00:00:00+00:00,137
2024-04-17 00:00:00+00:00,82
2024-04-18 00:00:00+00:00,127
2024-04-19 00:00:00+00:00,133
2024-04-20 00:00:00+00:00,132
2024-04-21 00:00:00+00:00,133
2024-04-22 00:00:00+00:00,133
2024-04-23 00:00:00+00:00,137
2024-04-24 00:00:00+00:00,134
2024-04-25 00:00:00+00:00,136
2024-04-26 00:00:00+00:00,133
2024-04-27 00:00:00+00:00,133
2024-04-28 00:00:00+00:00,140
2024-04-29 00:00:00+00:00,137
2024-04-30 00:00:00+00:00,137
2024-05-01 00:00:00+00:00,135
2024-05-02 00:00:00+00:00,136
2024-05-03 00:00:00+00:00,135
2024-05-04 00:00:00+00:00,126
2024-05-05 00:00:00+00:00,137
2024-05-06 00:00:00+00:00,112
2024-05-07 00:00:00+00:00,137
2024-05-08 00:00:00+00:00,136
2024-05-09 00:00:00+00:00,133
2024-05-10 00:00:00+00:00,133
2024-05-11 00:00:00+00:00,136
2024-05-12 00:00:00+00:00,116
2024-05-13 00:00:00+00:00,138
2024-05-14 00:00:00+00:00,132
2024-05-15 00:00:00+00:00,134
2024-05-16 00:00:00+00:00,138
2024-05-17 00:00:00+00:00,136
2024-05-18 00:00:00+00:00,134
2024-05-19 00:00:00+00:00,138
2024-05-20 00:00:00+00:00,74
2024-05-29 00:00:00+00:00,58
2024-05-30 00:00:00+00:00,134
2024-05-31 00:00:00+00:00,136
2024-06-01 00:00:00+00:00,132
2024-06-02 00:00:00+00:00,114
2024-06-03 00:00:00+00:00,137
2024-06-04 00:00:00+00:00,132
2024-06-05 00:00:00+00:00,138
2024-06-06 00:00:00+00:00,138
2024-06-07 00:00:00+00:00,139
2024-06-08 00:00:00+00:00,135
2024-06-09 00:00:00+00:00,134
2024-06-10 00:00:00+00:00,136
2024-06-11 00:00:00+00:00,129
2024-06-12 00:00:00+00:00,127
2024-06-13 00:00:00+00:00,133
2024-06-14 00:00:00+00:00,138
2024-06-15 00:00:00+00:00,131
2024-06-16 00:00:00+00:00,131
2024-06-17 00:00:00+00:00,133
2024-06-18 00:00:00+00:00,88
2024-06-19 00:00:00+00:00,72
2024-06-20 00:00:00+00:00,132
2024-06-21 00:00:00+00:00,131
2024-06-22 00:00:00+00:00,83
2024-06-23 00:00:00+00:00,72
2024-06-24 00:00:00+00:00,131
2024-06-25 00:00:00+00:00,130
2024-06-26 00:00:00+00:00,131
2024-06-27 00:00:00+00:00,105
2024-06-28 00:00:00+00:00,73
2024-06-29 00:00:00+00:00,136
2024-06-30 00:00:00+00:00,109
2024-07-01 00:00:00+00:00,70
2024-07-02 00:00:00+00:00,136
2024-07-03 00:00:00+00:00,135
2024-07-04 00:00:00+00:00,103
2024-07-05 00:00:00+00:00,71
2024-07-06 00:00:00+00:00,131
2024-07-07 00:00:00+00:00,110
2024-07-08 00:00:00+00:00,72
2024-07-09 00:00:00+00:00,135
2024-07-10 00:00:00+00:00,123
2024-07-11 00:00:00+00:00,138
2024-07-12 00:00:00+00:00,109
2024-07-13 00:00:00+00:00,127
2024-07-14 00:00:00+00:00,129
2024-07-15 00:00:00+00:00,131
2024-07-16 00:00:00+00:00,138
2024-07-17 00:00:00+00:00,134
2024-07-18 00:00:00+00:00,132
2024-07-19 00:00:00+00:00,131
2024-07-20 00:00:00+00:00,131
2024-07-21 00:00:00+00:00,137
2024-07-22 00:00:00+00:00,109
2024-07-23 00:00:00+00:00,68
2024-07-24 00:00:00+00:00,86
2024-07-25 00:00:00+00:00,74
2024-07-26 00:00:00+00:00,136
2024-07-27 00:00:00+00:00,120
2024-07-28 00:00:00+00:00,106
2024-07-29 00:00:00+00:00,75
2024-07-30 00:00:00+00:00,135
2024-07-31 00:00:00+00:00,127
2024-08-01 00:00:00+00:00,132
2024-08-02 00:00:00+00:00,136
