bin_center,D_gps_km,D_tle_km,n_raw
2024-04-29 01:57:40+00:00,505.3271667532382,505.37580311633445,19
2024-04-29 05:07:42+00:00,505.4082407112554,505.3610753059652,19
2024-04-29 08:17:44+00:00,505.3483829085749,505.3439927137407,19
2024-04-29 11:31:06+00:00,505.2057118879962,505.2593250329342,18
2024-04-29 14:37:48+00:00,505.33023251883145,505.31638680470826,19
2024-04-29 17:41:10+00:00,505.4187655575186,505.35311332908736,15
2024-04-29 21:07:52+00:00,505.40507043077247,505.4240992136912,17
2024-04-30 00:07:54+00:00,505.230661881321,505.2713536242164,19
2024-04-30 03:17:56+00:00,505.2706671800333,505.25663274625424,19
2024-04-30 06:27:58+00:00,505.29439422097556,505.24147400448663,19
2024-04-30 09:27:22+00:00,505.19061376691934,505.19222509707663,16
2024-04-30 12:48:02+00:00,505.2022556566451,505.2110479987248,19
2024-04-30 15:58:04+00:00,505.28670902949165,505.19605871625976,19
2024-04-30 19:13:26+00:00,505.4185612406049,505.3541037687552,15
2024-04-30 22:12:34+00:00,505.2282039648998,505.2354660347126,18
