lag_bins,lag_hours,n,pearson_r,spearman_r
1,3,1300,0.41666899739562274,0.6219559875024051
2,6,1285,0.4342026405130419,0.633052472938787
3,9,1280,0.16721516256764551,0.2736253520204785
4,12,1264,-0.09104092426212379,-0.3505663301098208
5,15,1254,0.0463390641463589,0.05363848698349565
6,18,1240,0.10540671951668712,0.14806945239655067
7,21,1233,-0.06553780843877777,-0.16375842656320358
8,24,1233,-0.14552844006968627,-0.5462973170047073
9,27,1235,-0.0672964463646209,-0.24120034424199582
10,30,1225,-0.026057113675888286,-0.12103362062606444
11,33,1225,-0.0931159338874588,-0.31537284408053595
12,36,1226,-0.1734650065949372,-0.5404683823935809
13,39,1217,-0.10940025988254841,-0.37392036994705335
14,42,1221,-0.08959267284879421,-0.26617219637798645
15,45,1217,-0.1397555059995795,-0.4006655668156308
16,48,1215,-0.16682070994086748,-0.5660264078495096
17,51,1209,-0.11375882076507786,-0.42471437401036755
18,54,1207,-0.10029174845445062,-0.3331997062155165
19,57,1200,-0.12831843305964857,-0.4274400329444673
20,60,1219,-0.14506290494756885,-0.5487521296132456
21,63,1217,-0.12799204611816362,-0.4429170109027137
22,66,1203,-0.10151900909753171,-0.37538502376735705
23,69,1207,-0.12998976918359736,-0.46424769986791103
24,72,1216,-0.16077373525715066,-0.5469341692815076
25,75,1203,-0.11645653529654656,-0.45801309794540357
26,78,1199,-0.10838204772945693,-0.4021133081129099
27,81,1196,-0.13835252558245384,-0.4780740912046983
28,84,1193,-0.16662937513066892,-0.5365170898569875
29,87,1197,-0.1405724311551409,-0.4677228929185852
30,90,1193,-0.1258794461030016,-0.4192498423190396
31,93,1187,-0.13534771011041166,-0.46787275187766175
32,96,1190,-0.1511203344106443,-0.5219021487370372
33,99,1183,-0.12914081940284355,-0.4634090357440613
34,102,1176,-0.1443901760026704,-0.43253108962451914
35,105,1167,-0.15591729540918234,-0.47227320324888766
36,108,1172,-0.181767470705162,-0.5213647675968368
37,111,1162,-0.17686761170456133,-0.47633962891842974
38,114,1162,-0.18479700689316841,-0.4422684161639582
39,117,1171,-0.21896042593220788,-0.4856085751927525
40,120,1173,-0.2197332705662307,-0.5234318675540047
