condition,geomag,wavelength,lag_hours,spearman_r,n
asymmetric,all,256,0,0.5570303043254724,1665
asymmetric,all,256,3,0.5606752865659962,1664
asymmetric,all,256,6,0.5665757927994212,1663
asymmetric,all,256,9,0.5697611182831559,1662
asymmetric,all,256,12,0.5709985565903847,1661
asymmetric,all,256,15,0.5740378683195974,1660
asymmetric,all,256,18,0.577545171754493,1659
asymmetric,all,256,21,0.5806449056905405,1658
asymmetric,all,256,24,0.5808972973650487,1657
asymmetric,all,256,27,0.581363882143914,1656
asymmetric,all,256,30,0.5834336623649072,1655
asymmetric,all,256,33,0.5845232451748514,1654
asymmetric,all,256,36,0.583365723121887,1653
asymmetric,all,256,39,0.5818193122459924,1652
asymmetric,all,256,42,0.5807162355861142,1651
asymmetric,all,256,45,0.5802706702079451,1651
asymmetric,all,256,48,0.5776646548433549,1651
asymmetric,all,256,51,0.5746229747831242,1651
asymmetric,all,256,54,0.5733048854255314,1651
asymmetric,all,256,57,0.571443842424758,1651
asymmetric,all,256,60,0.567529806374061,1651
asymmetric,all,256,63,0.5636002070156868,1650
asymmetric,all,256,66,0.5621552017136278,1649
asymmetric,all,256,69,0.5600662711763488,1647
asymmetric,all,256,72,0.554801433365326,1645
asymmetric,all,256,75,0.5496883028134173,1643
asymmetric,all,256,78,0.5477809123518737,1641
asymmetric,all,256,81,0.5454747658627181,1639
asymmetric,all,256,84,0.5401077900730643,1637
asymmetric,all,256,87,0.5334714048325371,1636
asymmetric,all,256,90,0.5290021936007238,1636
asymmetric,all,256,93,0.5244142387785368,1636
asymmetric,all,256,96,0.5157850747317413,1636
asymmetric,all,256,99,0.5069151348912964,1636
asymmetric,all,256,102,0.502713181008529,1636
asymmetric,all,256,105,0.49692716806293175,1636
asymmetric,all,256,108,0.4862198938964673,1636
asymmetric,all,256,111,0.47561759669669534,1635
asymmetric,all,256,114,0.47025788888606224,1633
asymmetric,all,256,117,0.4654666604786679,1631
asymmetric,all,256,120,0.4563759323410884,1629
asymmetric,all,284,0,0.6297439011987331,1665
asymmetric,all,284,3,0.6328867765841609,1664
asymmetric,all,284,6,0.6387099896292254,1663
asymmetric,all,284,9,0.6421699808076368,1662
asymmetric,all,284,12,0.6437152212874125,1661
asymmetric,all,284,15,0.6468473255264985,1660
asymmetric,all,284,18,0.6509621574048712,1659
asymmetric,all,284,21,0.6547321875573523,1658
asymmetric,all,284,24,0.6555352902923388,1657
asymmetric,all,284,27,0.656152248125163,1656
asymmetric,all,284,30,0.6583729738896208,1655
asymmetric,all,284,33,0.6595403829501401,1654
asymmetric,all,284,36,0.6594190499652005,1653
asymmetric,all,284,39,0.6595428810146817,1652
asymmetric,all,284,42,0.6600183694591809,1651
asymmetric,all,284,45,0.6610852993263243,1651
asymmetric,all,284,48,0.659556730470917,1651
asymmetric,all,284,51,0.6574289743354205,1651
asymmetric,all,284,54,0.6574478904253361,1651
asymmetric,all,284,57,0.6566737039818584,1651
asymmetric,all,284,60,0.6536986302100409,1651
asymmetric,all,284,63,0.651224621870635,1650
asymmetric,all,284,66,0.6508649281679715,1649
asymmetric,all,284,69,0.6500813412754572,1647
asymmetric,all,284,72,0.6465142451913906,1645
asymmetric,all,284,75,0.6428411568241036,1643
asymmetric,all,284,78,0.6415342629846236,1641
asymmetric,all,284,81,0.6398034660270707,1639
asymmetric,all,284,84,0.6354789204693542,1637
asymmetric,all,284,87,0.6304036592834246,1636
asymmetric,all,284,90,0.6277534867278501,1636
asymmetric,all,284,93,0.625174888091586,1636
asymmetric,all,284,96,0.6189249724479325,1636
asymmetric,all,284,99,0.6123944887945105,1636
asymmetric,all,284,102,0.6098429801070298,1636
asymmetric,all,284,105,0.606114328874198,1636
asymmetric,all,284,108,0.5978060320477793,1636
asymmetric,all,284,111,0.5898519567905457,1635
asymmetric,all,284,114,0.5869178352758114,1633
asymmetric,all,284,117,0.5836173396133778,1631
asymmetric,all,284,120,0.5757026638665794,1629
asymmetric,all,304,0,0.6264485887910258,1665
asymmetric,all,304,3,0.6296945249403157,1664
asymmetric,all,304,6,0.6353610240849782,1663
asymmetric,all,304,9,0.639206836657131,1662
asymmetric,all,304,12,0.6403699130914011,1661
asymmetric,all,304,15,0.6428290139282992,1660
asymmetric,all,304,18,0.6458988294722001,1659
asymmetric,all,304,21,0.6502103525756903,1658
asymmetric,all,304,24,0.6521791645648712,1657
asymmetric,all,304,27,0.6534607805265285,1656
asymmetric,all,304,30,0.6563598864307127,1655
asymmetric,all,304,33,0.6578735638703429,1654
asymmetric,all,304,36,0.6575002728160092,1653
asymmetric,all,304,39,0.6582194916594378,1652
asymmetric,all,304,42,0.6597934722424246,1651
asymmetric,all,304,45,0.6611877299265528,1651
asymmetric,all,304,48,0.6607605260080904,1651
asymmetric,all,304,51,0.6598092872028545,1651
asymmetric,all,304,54,0.6592311038754386,1651
asymmetric,all,304,57,0.6574993537091495,1651
asymmetric,all,304,60,0.653601025959227,1651
asymmetric,all,304,63,0.6500726588462894,1650
asymmetric,all,304,66,0.6483839519738889,1649
asymmetric,all,304,69,0.6466458825496423,1647
asymmetric,all,304,72,0.6418983067807998,1645
asymmetric,all,304,75,0.6372869219476214,1643
asymmetric,all,304,78,0.6340160581628841,1641
asymmetric,all,304,81,0.6300723203244075,1639
asymmetric,all,304,84,0.6246071170847096,1637
asymmetric,all,304,87,0.618762038121683,1636
asymmetric,all,304,90,0.6157750924213271,1636
asymmetric,all,304,93,0.6121162282947951,1636
asymmetric,all,304,96,0.6053345412043122,1636
asymmetric,all,304,99,0.5985228838882454,1636
asymmetric,all,304,102,0.5954516811848192,1636
asymmetric,all,304,105,0.5902825955766484,1636
asymmetric,all,304,108,0.5817682534493405,1636
asymmetric,all,304,111,0.5732483199958093,1635
asymmetric,all,304,114,0.5700626372943701,1633
asymmetric,all,304,117,0.5674573144247562,1631
asymmetric,all,304,120,0.5604056090243935,1629
asymmetric,all,1175,0,0.7814863471376077,1665
asymmetric,all,1175,3,0.7837777049217217,1664
asymmetric,all,1175,6,0.7869102509066183,1663
asymmetric,all,1175,9,0.7877022117813738,1662
asymmetric,all,1175,12,0.7858941138420497,1661
asymmetric,all,1175,15,0.7869623247724806,1660
asymmetric,all,1175,18,0.7899267997329112,1659
asymmetric,all,1175,21,0.7937315699528176,1658
asymmetric,all,1175,24,0.7966485154463361,1657
asymmetric,all,1175,27,0.8008092569373138,1656
asymmetric,all,1175,30,0.8030876643311444,1655
asymmetric,all,1175,33,0.80148380530872,1654
asymmetric,all,1175,36,0.7968763779785585,1653
asymmetric,all,1175,39,0.79648772817521,1652
asymmetric,all,1175,42,0.8005104917770072,1651
asymmetric,all,1175,45,0.8016563737876964,1651
asymmetric,all,1175,48,0.800715987602415,1651
asymmetric,all,1175,51,0.8017863385780107,1651
asymmetric,all,1175,54,0.8019664974022375,1651
asymmetric,all,1175,57,0.797353517962086,1651
asymmetric,all,1175,60,0.790860830081436,1651
asymmetric,all,1175,63,0.7886743132287319,1650
asymmetric,all,1175,66,0.7874854160188021,1649
asymmetric,all,1175,69,0.7831496196639056,1647
asymmetric,all,1175,72,0.7768658371100922,1645
asymmetric,all,1175,75,0.7734043669581279,1643
asymmetric,all,1175,78,0.7692329917930509,1641
asymmetric,all,1175,81,0.7609476843885095,1639
asymmetric,all,1175,84,0.7523990465630385,1637
asymmetric,all,1175,87,0.7460173890614183,1636
asymmetric,all,1175,90,0.7446341162593447,1636
asymmetric,all,1175,93,0.7424996173904426,1636
asymmetric,all,1175,96,0.7371271255932367,1636
asymmetric,all,1175,99,0.730717079165833,1636
asymmetric,all,1175,102,0.7275206323805294,1636
asymmetric,all,1175,105,0.7214997329988886,1636
asymmetric,all,1175,108,0.7124256196263978,1636
asymmetric,all,1175,111,0.7053128522101767,1635
asymmetric,all,1175,114,0.7034240057984006,1633
asymmetric,all,1175,117,0.6999368071829168,1631
asymmetric,all,1175,120,0.6917987434917916,1629
asymmetric,all,1216,0,0.6809297731566639,1665
asymmetric,all,1216,3,0.6910338763991802,1664
asymmetric,all,1216,6,0.6975580195828212,1663
asymmetric,all,1216,9,0.6905009197706226,1662
asymmetric,all,1216,12,0.6849199295350263,1661
asymmetric,all,1216,15,0.6927757053779796,1660
asymmetric,all,1216,18,0.7009649497634327,1659
asymmetric,all,1216,21,0.7008648112972572,1658
asymmetric,all,1216,24,0.7005464837084091,1657
asymmetric,all,1216,27,0.7089414466244953,1656
asymmetric,all,1216,30,0.712960342819271,1655
asymmetric,all,1216,33,0.7033807490991443,1654
asymmetric,all,1216,36,0.6962881974494051,1653
