condition,geomag,wavelength,peak_lag_hours,peak_r,n,delta_peak_vs_asymmetric_h
asymmetric,all,256,33,0.5845232451748514,1654,
asymmetric,all,284,45,0.6610852993263243,1651,
asymmetric,all,304,45,0.6611877299265528,1651,
asymmetric,all,1175,30,0.8030876643311444,1655,
asymmetric,all,1216,30,0.712960342819271,1655,
asymmetric,all,1335,48,0.7047641401705195,1651,
asymmetric,all,1405,33,0.8174022998627578,1654,
asymmetric,quiet_kp4,256,30,0.5527076284612684,860,
asymmetric,quiet_kp4,284,45,0.6081123729945591,856,
asymmetric,quiet_kp4,304,33,0.6692392508809653,859,
asymmetric,quiet_kp4,1175,33,0.840954215938649,859,
asymmetric,quiet_kp4,1216,30,0.7270984902346674,860,
asymmetric,quiet_kp4,1335,33,0.7189460943799413,859,
asymmetric,quiet_kp4,1405,33,0.8413877835081507,859,
symmetric,all,256,33,0.5870044058544224,1654,0.0
symmetric,all,284,33,0.6622298482785353,1654,-12.0
symmetric,all,304,45,0.6676403804389927,1651,0.0
symmetric,all,1175,33,0.8252739619116038,1654,3.0
symmetric,all,1216,36,0.7128146465795796,1653,6.0
symmetric,all,1335,45,0.7168454180278551,1651,-3.0
symmetric,all,1405,33,0.829982528502609,1654,0.0
symmetric,quiet_kp4,256,30,0.555972892538845,860,0.0
symmetric,quiet_kp4,284,33,0.6106050729734299,859,-12.0
symmetric,quiet_kp4,304,33,0.6758679823574103,859,0.0
symmetric,quiet_kp4,1175,33,0.857321945455795,859,0.0
symmetric,quiet_kp4,1216,33,0.7225299702328156,859,3.0
symmetric,quiet_kp4,1335,33,0.7240406127159248,859,0.0
symmetric,quiet_kp4,1405,21,0.8502120429370322,860,-12.0
none,all,256,39,0.23933951073134577,1652,6.0
none,all,284,39,0.27015535927108086,1652,-6.0
none,all,304,39,0.27261443029602206,1652,-6.0
none,all,1175,15,0.3314680025597128,1660,-15.0
none,all,1216,36,0.3177363122122722,1653,6.0
none,all,1335,39,0.2897294543307531,1652,-9.0
none,all,1405,39,0.3336311233976399,1652,6.0
none,quiet_kp4,256,15,0.23383927903850799,858,-15.0
none,quiet_kp4,284,15,0.2549817348618701,858,-30.0
none,quiet_kp4,304,15,0.27968434400298,858,-18.0
none,quiet_kp4,1175,15,0.3470919032649247,858,-18.0
none,quiet_kp4,1216,12,0.30762338731073396,857,-18.0
none,quiet_kp4,1335,15,0.2978903682103924,858,-18.0
none,quiet_kp4,1405,15,0.3424275554510298,858,-18.0
