days_since_epoch,median_diff_m,mean_diff_m,std_diff_m,n
-16.0,109.91787148714138,189.323668710963,859.3358023920895,106
-15.0,-24.61124455476238,-172.26211369148356,1095.9828511195485,261
-14.0,-164.86098993118503,-348.9998351765183,1098.9051734990537,987
-13.0,-178.6691083830192,-317.4892851183293,919.7487591938022,1054
-12.0,-118.5750377981094,-232.31932005194477,792.1033196814905,974
-11.0,-219.81836760369333,-276.19333000030036,692.987555636059,956
-10.0,-255.9167564463678,-261.5368430896533,581.0182579950173,990
-9.0,-292.512250006439,-265.7326252724862,510.42196247131085,985
-8.0,-258.3321347869969,-225.50784577523063,413.84535248121455,1000
-7.0,-158.48676567838993,-130.21698567066474,369.37991405079816,955
-6.0,-152.2637233028945,-135.60105020911348,279.56615046036717,1044
-5.0,-88.23509445937816,-80.37763557993695,233.6132307229056,920
-4.0,29.449535526509862,75.08966643841698,340.1319581657768,955
-3.0,21.13936064642985,13.16381797667246,137.18536582633132,1014
-2.0,6.987061949985218,-5.105521195025816,115.61490187435574,1041
-1.0,8.739240173326834,-12.946448310856555,104.2397323499811,1060
0.0,0.0,-2.10199349710751,14.203931153378507,1060
1.0,0.0,3.5972118005513836,65.49002307679824,1067
2.0,28.605012059415458,35.37616986552859,131.0116933629314,992
3.0,30.630793266482215,40.43555055299781,164.13446234913573,992
4.0,38.883334734236996,36.42317682169249,223.0101997869494,896
5.0,42.57359460461885,11.344359887892344,271.97714968331803,859
6.0,-0.722963462521875,-26.065724243008493,330.159624753834,916
7.0,-54.41832936594437,-66.25782100695767,403.181664071246,861
8.0,-34.31683627059101,-61.94741794439803,474.0065204702181,812
9.0,-67.02667105128057,-79.23979984983998,519.083865998429,869
10.0,-51.7381148356435,-53.65740321356569,567.504082581482,885
11.0,-50.70177038760448,-24.308081903651715,624.1990738250413,839
12.0,-9.08792597010688,12.341576756333316,668.5984104793467,874
13.0,25.668990571375616,47.725500323252064,728.407843313294,802
14.0,69.85800798520359,76.34479594204166,717.0165191440046,1007
15.0,171.90473384107463,144.45156171131458,695.6269781221685,835
16.0,188.0999438631079,142.2262847676919,596.6319920782303,332
