timestamp,gpsUtcTime,gpsUtcTimeFraction,gpsFixQual,gpsLatitude,gpsLongitude,gpsAltitudeMeters,gpsNumOfSatsTracked,gpsNumOfSatsInView,gpsGeoid,datetime
1724803465,1724803465,0,1,-53.83705521,-11.71644211,502517.5,22,10,24.20000076,2024/8/28 0:04
1724804065,1724804065,0,1,-16.14790916,-22.31038475,489062.9688,16,12,-3.200000048,2024/8/28 0:14
1724804665,1724804665,0,1,21.9140892,-29.9685421,487932.3438,16,9,16.79999924,2024/8/28 0:24
1724805265,1724805265,0,1,59.49614716,-42.22452927,498359.7813,25,11,46.79999924,2024/8/28 0:34
1724805865,1724805865,0,1,78.89164734,-170.4820862,503891.625,28,14,2.5,2024/8/28 0:44
1724806466,1724806465,0,1,43.2194519,152.550766,497674.7813,25,12,13.5,2024/8/28 0:54
1724807066,1724807065,0,1,5.357903481,143.7289734,492255.3438,25,14,63.40000153,2024/8/28 1:04
1724807666,1724807665,0,1,-32.64686584,135.745575,499239.875,28,11,-2.299999952,2024/8/28 1:14
1724808266,1724808265,0,1,-69.64532471,117.5018692,509906,28,13,-26.10000038,2024/8/28 1:24
1724808866,1724808866,0,1,-69.78327942,-23.7897892,507996.875,27,10,2.099999905,2024/8/28 1:34
1724809466,1724809466,0,1,-32.75582504,-42.17294693,494354.0625,20,10,-7.5,2024/8/28 1:44
1724810066,1724810066,0,1,5.246580124,-50.15748215,486528,20,13,-36.40000153,2024/8/28 1:54
1724810666,1724810666,0,1,43.16624832,-58.98040771,493540.4375,21,10,-18.70000076,2024/8/28 2:04
1724811266,1724811266,0,1,78.87275696,-95.86780548,503213.5938,27,13,1.299999952,2024/8/28 2:14
1724811867,1724811866,0,1,59.53524017,135.7993774,501510.7813,29,13,7.599999905,2024/8/28 2:24
1724812467,1724812466,0,1,22.00415993,123.538765,493517.2188,22,11,24.79999924,2024/8/28 2:34
1724813067,1724813066,0,1,-15.99324322,115.8905869,494690.625,24,13,-3.400000095,2024/8/28 2:44
1724813667,1724813666,0,1,-53.69768906,105.3272095,505821.2188,24,11,-6.599999905,2024/8/28 2:54
1724814267,1724814266,0,1,-82.25458527,5.973834991,510710,24,13,-10.10000038,2024/8/28 3:04
1724814867,1724814867,0,1,-49.22443008,-60.80477524,500641.3438,22,10,11.60000038,2024/8/28 3:14
1724815467,1724815467,0,1,-11.43566132,-70.46930695,488041.4063,22,10,27.70000076,2024/8/28 3:24
1724816067,1724816067,0,1,26.61619186,-78.21269989,489021.0313,17,11,-31.89999962,2024/8/28 3:34
1724816667,1724816667,0,1,64.02846527,-92.45976257,499883.9375,23,12,-40.5,2024/8/28 3:44
1724817267,1724817267,0,1,75.07300568,129.7199249,503863.7188,26,11,-1.600000024,2024/8/28 3:54
1724817868,1724817867,0,1,38.56705475,103.9753265,496862.8125,21,10,-48,2024/8/28 4:04
1724818468,1724818467,0,1,0.655934989,95.60958099,492647.875,18,12,-31.5,2024/8/28 4:14
1724819068,1724819067,0,1,-37.30620193,87.33473969,500803.6875,16,8,-4.699999809,2024/8/28 4:24
1724819668,1724819667,0,1,-73.90597534,63.73553467,510494.8438,26,11,18.10000038,2024/8/28 4:34
1724820268,1724820268,0,1,-65.37345886,-75.50106812,506530.6563,30,12,-1.200000048,2024/8/28 4:44
1724820868,1724820868,0,1,-28.07699585,-90.50146484,492491.2188,24,10,1.5,2024/8/28 4:54
1724821468,1724821468,0,1,9.95911026,-98.28635406,486459.875,26,12,-9.399999619,2024/8/28 5:04
1724822068,1724822068,0,1,47.8121109,-107.7252579,494853.7188,23,12,-15.60000038,2024/8/28 5:14
1724822668,1724822668,0,1,81.75678253,-165.8011475,503678.375,30,14,3.400000095,2024/8/28 5:24
1724823268,1724823268,0,1,54.96136856,86.20726013,500648.5,24,10,-37.59999847,2024/8/28 5:34
1724823869,1724823868,0,1,17.30776405,75.34396362,493209.625,17,9,-76.40000153,2024/8/28 5:44
1724824469,1724824468,0,1,-20.68503571,67.7081604,496071.0625,16,10,-13.60000038,2024/8/28 5:54
1724825069,1724825068,0,1,-58.20527649,55.91437531,507343.2188,20,10,34.70000076,2024/8/28 6:04
1724825669,1724825668,0,1,-79.86036682,-67.84156036,510319.9688,28,12,-21,2024/8/28 6:14
1724826269,1724826269,0,1,-44.60111237,-109.6140976,498711.9375,25,11,-9.699999809,2024/8/28 6:24
1724826869,1724826869,0,1,-6.730949879,-118.6017685,487027.75,25,12,-14.80000019,2024/8/28 6:34
1724827469,1724827469,0,1,31.3026619,-126.5156631,489877.4688,23,12,-41.79999924,2024/8/28 6:44
1724828069,1724828069,0,1,68.48254395,-143.7370453,500844.8438,24,12,7.900000095,2024/8/28 6:54
1724828669,1724828669,0,1,70.86491394,75.02827454,503415.875,23,12,-9.600000381,2024/8/28 7:04
1724829269,1724829269,0,1,33.90050507,55.53168488,495898.2813,12,11,-8.699999809,2024/8/28 7:14
1724829870,1724829869,0,1,-4.04769516,47.49145508,493169,20,11,-44.40000153,2024/8/28 7:24
1724830470,1724830469,0,1,-41.89184952,38.8200798,502346.1875,21,10,41.29999924,2024/8/28 7:34
1724831070,1724831069,0,1,-77.80901337,6.010334969,510888.8438,28,12,0.5,2024/8/28 7:44
1724831670,1724831669,0,1,-60.87420654,-125.9882202,504899.5313,29,13,-28.10000038,2024/8/28 7:54
1724832270,1724832270,0,1,-23.38726997,-138.7609406,490749.125,23,10,-11.10000038,2024/8/28 8:04
1724832870,1724832870,0,1,14.67054653,-146.4358063,486626.4063,26,15,-8,2024/8/28 8:14
1724833470,1724833470,0,1,52.4380455,-156.7203979,496134.0938,24,12,10.80000019,2024/8/28 8:24
1724834070,1724834070,0,1,82.51344299,112.2578354,503933.75,27,12,5.400000095,2024/8/28 8:34
1724835871,1724835870,0,1,-25.37642479,19.4779892,497235.75,5,0,27.79999924,2024/8/28 9:04
1724836471,1724836470,0,1,-62.74221039,5.892513275,508351.5313,21,11,17.60000038,2024/8/28 9:14
1724837071,1724837070,0,1,-76.28484344,-129.7813568,509384.6875,26,13,-39.70000076,2024/8/28 9:24
