Shift,Correlation,Shift_Hours,In_95_CI
-35,0.5778548917112607,-110.20383365293209,False
-34,0.5904695409234744,-107.05515269141975,False
-33,0.6093026398212015,-103.9064717299074,False
-32,0.6258242806841675,-100.75779076839505,False
-31,0.6261640630719426,-97.60910980688271,False
-30,0.6407351142974229,-94.46042884537036,False
-29,0.6540450279575387,-91.31174788385802,False
-28,0.6704263826572532,-88.16306692234568,False
-27,0.6787108140059965,-85.01438596083332,False
-26,0.6868141396751105,-81.86570499932098,False
-25,0.703280143440267,-78.71702403780864,False
-24,0.7021614399419422,-75.56834307629629,False
-23,0.7022634415267098,-72.41966211478395,False
-22,0.7095840323132904,-69.2709811532716,False
-21,0.7196116040440416,-66.12230019175925,True
-20,0.7270972099615036,-62.97361923024691,True
-19,0.7309386952713791,-59.82493826873456,True
-18,0.7388205162023636,-56.676257307222215,True
-17,0.7526509797703614,-53.527576345709875,True
-16,0.7447459857098836,-50.37889538419753,True
-15,0.7480054418745343,-47.23021442268518,True
-14,0.7538380667058688,-44.08153346117284,True
-13,0.7668266465371246,-40.93285249966049,True
-12,0.7712890372669169,-37.784171538148144,True
-11,0.7663643770297023,-34.6354905766358,True
-10,0.771648366884934,-31.486809615123455,True
-9,0.7727439533696692,-28.338128653611108,True
-8,0.7599056169856375,-25.189447692098764,True
-7,0.7570562877769084,-22.04076673058642,True
-6,0.7526167060057961,-18.892085769074072,True
-5,0.7521654812443221,-15.743404807561728,True
-4,0.7417576931473815,-12.594723846049382,True
-3,0.7308561717160678,-9.446042884537036,True
-2,0.7304204549285872,-6.297361923024691,True
-1,0.7124156480773833,-3.1486809615123454,False
0,0.6966390376394684,0.0,False
1,0.6845115520285765,3.1486809615123454,False
2,0.674496990082382,6.297361923024691,False
