datetime,irr_256,irr_284,irr_304,irr_1175,irr_1216,irr_1335,irr_1405,MgII_Index,n_samples_irr_256,n_samples_irr_284,n_samples_irr_304,n_samples_irr_1175,n_samples_irr_1216,n_samples_irr_1335,n_samples_irr_1405,n_samples_MgII_Index
2024-04-01 00:00:00+00:00,,,,,,,,,0,0,0,0,0,0,0,0
2024-04-01 03:00:00+00:00,0.00012979108011235957,0.00010879745050561798,0.00046550215820224716,0.00010197200865730337,0.008216649536516855,0.00023744555314606742,0.00014919938825842696,0.3304524170786517,178,178,178,178,178,178,178,178
2024-04-01 06:00:00+00:00,0.00012879371493506494,0.0001079811064025974,0.00046400640844155845,0.00010122032375324676,0.008166402220779221,0.00023819927623376625,0.00015001665714285716,0.3305424976623377,77,77,77,77,77,77,77,77
2024-04-01 09:00:00+00:00,,,,,,,,,0,0,0,0,0,0,0,0
2024-04-01 12:00:00+00:00,,,,,,,,,0,0,0,0,0,0,0,0
2024-04-01 15:00:00+00:00,0.0001272536298888889,0.00010344510655,0.0004591835621666667,0.00010048798077222223,0.008150554705555556,0.00023608854833333332,0.00014996701883333334,0.33046031416666666,180,180,180,180,180,180,180,180
2024-04-01 18:00:00+00:00,0.00012704656882022472,0.00010152646978089886,0.0004586926920224719,9.901769521910112e-05,0.008145730216292136,0.00023619561786516853,0.00014775025797752808,0.3300664207303371,178,178,178,178,178,178,178,178
2024-04-01 21:00:00+00:00,0.00012560075966666667,9.978998536666667e-05,0.00045753532955555555,0.00010085309261666666,0.008144946030555555,0.0002360137011111111,0.00014709710600000001,0.3297998196111111,180,180,180,180,180,180,180,180
2024-04-02 00:00:00+00:00,0.00012535539394444446,9.962589345e-05,0.00045640725394444445,0.00010145679143333334,0.008130908052777778,0.00023605039327777777,0.00014833089711111113,0.32947288294444443,180,180,180,180,180,180,180,180
2024-04-02 03:00:00+00:00,0.00012466844577777776,9.777718351666668e-05,0.0004562687972777778,0.00010036699305555555,0.008125227819444445,0.00023516564411111112,0.00014882032783333332,0.3294346362777778,180,180,180,180,180,180,180,180
2024-04-02 06:00:00+00:00,0.0001245613085064935,9.698899196103896e-05,0.0004547963674675325,9.793976121428571e-05,0.008011700063636364,0.00023457696896103897,0.00014905707357142856,0.32939355454545455,154,154,154,154,154,154,154,154
2024-04-02 09:00:00+00:00,0.00012359526183206108,9.633472674045802e-05,0.00045392274541984737,9.800831070992367e-05,0.00797487060076336,0.0002320667869465649,0.0001478191703816794,0.329499642519084,131,131,131,131,131,131,131,131
2024-04-02 12:00:00+00:00,0.00012305726863333334,9.484714159444446e-05,0.00045425270888888893,0.00010118812602222222,0.00809328111111111,0.00023434500683333333,0.00014873428083333334,0.3300785861111111,180,180,180,180,180,180,180,180
2024-04-02 15:00:00+00:00,0.00012235188980555555,9.430782863888889e-05,0.00045499433799999997,0.00010207089739444444,0.008105616066666666,0.00023468159166666668,0.00014964205022222223,0.329726281,180,180,180,180,180,180,180,180
2024-04-02 18:00:00+00:00,0.00012169551619662922,9.360714628089887e-05,0.0004556030329775281,0.00010204820252247192,0.008120287536516854,0.0002353118697752809,0.00015001150646067415,0.32970287438202245,178,178,178,178,178,178,178,178
