datetime,Ap,F107_obs,F107_adj
2024-03-25,25,190.1,189.1
2024-03-26,10,178.2,177.4
2024-03-27,6,174.6,173.9
2024-03-28,7,172.7,172.1
2024-03-29,4,167.3,166.8
2024-03-30,3,139.6,139.3
2024-03-31,8,133.6,133.4
2024-04-01,10,120.4,120.3
2024-04-02,6,112.8,112.7
2024-04-03,6,111.7,111.7
2024-04-04,10,113.7,113.8
2024-04-05,10,120.5,120.6
2024-04-06,9,122.9,123.1
2024-04-07,6,124.6,124.9
2024-04-08,7,124.8,125.2
2024-04-09,9,124.4,124.8
2024-04-10,7,131.2,131.8
2024-04-11,5,143.7,144.4
2024-04-12,5,151.5,152.3
2024-04-13,5,161.0,161.9
2024-04-14,5,178.4,179.5
2024-04-15,6,191.9,193.2
2024-04-16,31,198.7,200.2
2024-04-17,6,216.5,218.2
2024-04-18,3,226.9,228.8
2024-04-19,45,213.4,215.4
2024-04-20,10,209.5,211.6
2024-04-21,18,217.1,219.4
2024-04-22,7,226.8,229.2
2024-04-23,6,219.1,221.6
2024-04-24,3,199.1,201.4
2024-04-25,2,166.7,168.8
2024-04-26,17,152.6,154.6
2024-04-27,12,152.6,154.6
2024-04-28,6,140.1,142.0
2024-04-29,6,137.6,139.5
2024-04-30,13,130.2,132.1
2024-05-01,7,134.8,136.9
2024-05-02,42,141.9,144.1
2024-05-03,8,156.0,158.6
2024-05-04,5,166.6,169.5
2024-05-05,10,176.9,180.0
2024-05-06,16,171.2,174.3
2024-05-07,6,203.6,207.4
2024-05-08,5,227.1,231.4
2024-05-09,5,233.2,237.7
2024-05-10,105,223.4,227.9
2024-05-11,271,213.7,218.0
2024-05-12,53,221.8,226.4
2024-05-13,27,215.4,220.0
2024-05-14,6,219.8,224.6
2024-05-15,9,216.0,220.8
2024-05-16,27,207.2,211.9
2024-05-17,30,204.1,208.7
2024-05-18,12,194.3,198.8
2024-05-19,8,200.7,205.5
2024-05-20,6,199.7,204.5
2024-05-21,7,190.8,195.4
2024-05-22,3,195.7,200.6
2024-05-23,8,176.2,180.7
2024-05-24,9,162.8,167.0
2024-05-25,5,152.4,156.4
2024-05-26,8,155.6,159.7
2024-05-27,7,170.0,174.6
2024-05-28,4,166.4,170.9
2024-05-29,5,170.5,175.2
2024-05-30,7,172.9,177.7
2024-05-31,10,179.4,184.5
2024-06-01,4,226.9,233.3
2024-06-02,4,179.8,185.0
2024-06-03,9,186.0,191.4
2024-06-04,6,192.3,198.0
2024-06-05,6,195.3,201.1
2024-06-06,5,190.9,196.7
2024-06-07,29,184.4,190.0
2024-06-08,14,190.4,196.2
2024-06-09,5,180.9,186.4
2024-06-10,9,177.8,183.3
2024-06-11,10,164.9,170.1
2024-06-12,4,164.9,170.0
2024-06-13,2,170.1,175.5
2024-06-14,5,169.0,174.3
2024-06-15,17,170.7,176.1
2024-06-16,14,167.3,172.6
2024-06-17,11,179.9,185.7
2024-06-18,10,192.7,199.0
2024-06-19,10,196.0,202.3
2024-06-20,6,203.3,210.0
2024-06-21,3,196.9,203.3
2024-06-22,3,195.7,202.1
2024-06-23,10,195.8,202.2
2024-06-24,3,198.7,205.3
2024-06-25,6,193.7,200.1
2024-06-26,8,181.4,187.4
2024-06-27,8,182.5,188.6
2024-06-28,60,180.7,186.7
2024-06-29,13,186.4,192.7
2024-06-30,11,173.8,179.6
2024-07-01,5,170.6,176.3
2024-07-02,4,163.8,169.3
2024-07-03,4,167.4,173.1
2024-07-04,9,173.0,178.8
2024-07-05,7,165.6,171.2
2024-07-06,2,166.0,171.6
2024-07-07,6,171.3,177.1
2024-07-08,10,168.5,174.1
2024-07-09,6,178.2,184.2
2024-07-10,4,213.6,220.8
2024-07-11,6,205.0,211.9
2024-07-12,5,209.7,216.7
2024-07-13,3,238.3,246.3
2024-07-14,4,233.9,241.7
2024-07-15,6,233.2,240.9
2024-07-16,8,241.9,249.9
2024-07-17,5,223.8,231.1
2024-07-18,4,208.7,215.5
2024-07-19,4,201.6,208.2
2024-07-20,6,207.4,214.1
2024-07-21,4,197.9,204.2
2024-07-22,8,185.0,191.0
2024-07-23,4,175.5,181.0
2024-07-24,5,174.8,180.4
2024-07-25,8,167.2,172.4
2024-07-26,24,176.3,181.8
2024-07-27,10,203.6,210.0
2024-07-28,7,214.4,221.1
2024-07-29,6,223.1,230.0
2024-07-30,22,400.7,412.9
2024-07-31,15,235.1,242.2
2024-08-01,19,234.4,241.4
2024-08-02,8,247.1,254.5
2024-08-03,8,244.6,251.8
2024-08-04,49,240.8,247.9
2024-08-05,8,247.3,254.4
2024-08-06,5,270.0,277.7
2024-08-07,6,303.2,311.7
2024-08-08,6,336.0,345.4
2024-08-09,5,305.5,313.9
2024-08-10,6,291.1,299.0
2024-08-11,28,281.5,289.0
2024-08-12,127,272.4,279.6
2024-08-13,14,259.9,266.7
2024-08-14,10,248.2,254.6
2024-08-15,4,227.4,233.2
2024-08-16,7,224.9,230.5
2024-08-17,30,229.5,235.2
2024-08-18,11,231.0,236.6
2024-08-19,9,239.1,244.8
2024-08-20,8,238.2,243.8
2024-08-21,8,239.0,244.5
2024-08-22,9,230.6,235.8
2024-08-23,6,241.7,247.1
2024-08-24,8,232.3,237.3
2024-08-25,5,232.6,237.6
2024-08-26,4,,
2024-08-27,9,221.3,225.8
2024-08-28,24,211.9,216.1
2024-08-29,4,204.0,207.9
2024-08-30,24,214.2,218.3
2024-08-31,25,231.6,235.9
2024-09-01,15,225.5,229.5
2024-09-02,7,237.6,241.8
2024-09-03,5,242.1,246.3
2024-09-04,13,261.8,266.2
2024-09-05,4,240.7,244.6
2024-09-06,6,248.9,252.8
2024-09-07,6,221.7,225.0
2024-09-08,6,227.6,231.0
2024-09-09,8,214.8,217.8
2024-09-10,6,205.2,207.9
2024-09-11,9,207.0,209.6
2024-09-12,71,201.2,203.7
2024-09-13,35,185.8,188.1
2024-09-14,18,172.4,174.4
2024-09-15,17,172.8,174.6
2024-09-16,19,169.2,170.9
2024-09-17,71,165.4,167.0
2024-09-18,11,163.3,164.8
2024-09-19,18,161.2,162.6
2024-09-20,5,153.8,155.0
2024-09-21,5,158.0,159.2
2024-09-22,5,162.8,164.0
2024-09-23,12,167.4,168.5
2024-09-24,14,172.4,173.4
2024-09-25,29,174.2,175.2
2024-09-26,10,181.1,182.0
2024-09-27,5,186.0,186.7
2024-09-28,6,194.5,195.2
2024-09-29,14,197.2,197.8
2024-09-30,9,214.2,214.7
2024-10-01,5,244.6,245.1
2024-10-02,5,274.4,274.8
2024-10-03,7,311.9,312.1
2024-10-04,8,291.0,291.1
2024-10-05,5,277.3,277.1
2024-10-06,13,264.5,264.2
2024-10-07,54,277.0,276.5
2024-10-08,54,224.7,224.2
2024-10-09,18,220.3,219.7
2024-10-10,97,216.3,215.6
2024-10-11,116,213.9,213.1
2024-10-12,18,213.6,212.6
2024-10-13,4,194.9,193.9
2024-10-14,6,181.9,180.9
2024-10-15,11,172.0,170.9
2024-10-16,13,167.7,166.6
2024-10-17,7,173.5,172.2
2024-10-18,12,165.2,163.9
2024-10-19,25,162.3,160.9
2024-10-20,6,161.7,160.3
2024-10-21,5,163.9,162.4
2024-10-22,8,176.1,174.3
2024-10-23,8,185.7,183.7
2024-10-24,11,196.6,194.4
2024-10-25,2,209.3,206.8
2024-10-26,12,238.4,235.5
2024-10-27,10,246.2,243.0
2024-10-28,16,255.5,252.1
2024-10-29,11,265.6,261.9
2024-10-30,15,269.8,265.9
2024-10-31,8,269.9,265.9
2024-11-01,6,256.2,252.2
2024-11-02,12,250.6,246.6
2024-11-03,10,240.6,236.7
2024-11-04,13,242.3,238.3
2024-11-05,11,245.6,241.4
2024-11-06,10,260.5,255.9
2024-11-07,8,239.2,234.8
2024-11-08,10,231.0,226.7
2024-11-09,31,220.9,216.7
2024-11-10,25,230.6,226.0
2024-11-11,9,182.2,178.6
2024-11-12,4,171.7,168.1
2024-11-13,6,150.3,147.1
2024-11-14,11,146.8,143.7
2024-11-15,12,148.9,145.6
2024-11-16,6,139.9,136.8
2024-11-17,6,146.3,142.9
2024-11-18,4,165.0,161.2
2024-11-19,7,157.2,153.5
2024-11-20,7,162.6,158.7
2024-11-21,7,166.2,162.1
2024-11-22,10,179.1,174.7
2024-11-23,7,199.9,194.9
2024-11-24,7,202.7,197.6
2024-11-25,10,220.4,214.7
2024-11-26,6,222.3,216.4
2024-11-27,4,225.0,219.0
2024-11-28,3,213.9,208.1
2024-11-29,7,219.8,213.8
2024-11-30,10,204.0,198.3
2024-12-01,6,186.3,181.1
2024-12-02,5,185.3,180.0
2024-12-03,11,174.2,169.3
2024-12-04,6,174.7,169.7
2024-12-05,4,174.6,169.5
