COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/11/28 15:55,769664,15.15663121,0.00104,97.4799,45.3459,177.2905,182.8386,0,999,316,0.00089307,0.00016972,0,4111631,0 NINJASAT,1 58341U 23174CP  23332.66373576  .00016972  00000-0  89307-3 0  9999,2 58341  97.4799  45.3459 0010400 177.2905 182.8386 15.15663121  3161,2023-174CP,58341,6897.103,95.008,526.141,511.795,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/11/28 15:55,769664,15.15663121,0.00104,97.4799,45.3459,177.2905,182.8386,0,999,316,0.00089307,0.00016972,0,4111621,0 NINJASAT,1 58341U 23174CP  23332.66373576  .00016972  00000-0  89307-3 0  9999,2 58341  97.4799  45.3459 0010400 177.2905 182.8386 15.15663121  3161,2023-174CP,58341,6897.103,95.008,526.141,511.795,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/11/29 22:02,988096,15.15712755,0.0010414,97.4793,46.5809,173.2528,186.8846,0,999,335,0.0010187,0.00019402,0,4113697,0 NINJASAT,1 58341U 23174CP  23333.91809014  .00019402  00000-0  10187-2 0  9999,2 58341  97.4793  46.5809 0010414 173.2528 186.8846 15.15712755  3353,2023-174CP,58341,6896.953,95.005,526,511.635,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/11/30 18:37,351616,15.15740841,0.0010466,97.4788,47.426,170.7108,189.432,0,999,348,0.00095401,0.00018178,0,4115957,0 NINJASAT,1 58341U 23174CP  23334.77631194  .00018178  00000-0  95401-3 0  9998,2 58341  97.4788  47.4260 0010466 170.7108 189.4320 15.15740841  3488,2023-174CP,58341,6896.867,95.003,525.951,511.514,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/1 21:33,886912,15.15786283,0.0010528,97.4786,48.5311,167.2242,192.9259,0,999,365,0.0011845,0.00022628,0,4116981,0 NINJASAT,1 58341U 23174CP  23335.89857508  .00022628  00000-0  11845-2 0  9995,2 58341  97.4786  48.5311 0010528 167.2242 192.9259 15.15786283  3653,2023-174CP,58341,6896.73,95,525.855,511.334,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/1 23:09,518976,15.1578959,0.0010518,97.4786,48.5962,166.989,193.1616,0,999,366,0.0011913,0.00022761,0,4117140,0 NINJASAT,1 58341U 23174CP  23335.96458934  .00022761  00000-0  11913-2 0  9997,2 58341  97.4786  48.5962 0010518 166.9890 193.1616 15.15789590  3664,2023-174CP,58341,6896.719,95,525.838,511.331,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/2 11:49,775424,15.1583622,0.0010564,97.4786,49.116,165.2924,194.8618,0,999,374,0.0018986,0.0003643,0,4117552,0 NINJASAT,1 58341U 23174CP  23336.49269416  .00036430  00000-0  18986-2 0  9996,2 58341  97.4786  49.1160 0010564 165.2924 194.8618 15.15836220  3744,2023-174CP,58341,6896.578,94.997,525.729,511.157,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/2 13:24,413536,15.15822328,0.0010588,97.4786,49.1809,164.9783,195.1767,0,999,375,0.00092917,0.00017743,0,4118466,0 NINJASAT,1 58341U 23174CP  23336.55870849  .00017743  00000-0  92917-3 0  9994,2 58341  97.4786  49.1809 0010588 164.9783 195.1767 15.15822328  3753,2023-174CP,58341,6896.62,94.998,525.787,511.183,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/2 18:09,885504,15.15830766,0.0010604,97.4787,49.376,164.2055,195.951,0,999,378,0.00088043,0.00016811,0,4118587,0 NINJASAT,1 58341U 23174CP  23336.75674636  .00016811  00000-0  88043-3 0  9992,2 58341  97.4787  49.3760 0010604 164.2055 195.9510 15.15830766  3788,2023-174CP,58341,6896.595,94.997,525.773,511.146,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/2 21:19,759968,15.15835001,0.0010592,97.4787,49.506,163.714,196.4435,0,999,380,0.0007465,0.0001424,0,4119201,0 NINJASAT,1 58341U 23174CP  23336.88877037  .00014240  00000-0  74650-3 0  9999,2 58341  97.4787  49.5060 0010592 163.7140 196.4435 15.15835001  3800,2023-174CP,58341,6896.582,94.997,525.752,511.142,0
