COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED,datetime
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/11/28 15:55,769664,15.15663121,0.00104,97.4799,45.3459,177.2905,182.8386,0,999,316,0.00089307,0.00016972,0,4111631,0 NINJASAT,1 58341U 23174CP  23332.66373576  .00016972  00000-0  89307-3 0  9999,2 58341  97.4799  45.3459 0010400 177.2905 182.8386 15.15663121  3161,2023-174CP,58341,6897.103,95.008,526.141,511.795,0,55:46.8
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/11/29 22:02,988096,15.15712755,0.0010414,97.4793,46.5809,173.2528,186.8846,0,999,335,0.0010187,0.00019402,0,4113697,0 NINJASAT,1 58341U 23174CP  23333.91809014  .00019402  00000-0  10187-2 0  9999,2 58341  97.4793  46.5809 0010414 173.2528 186.8846 15.15712755  3353,2023-174CP,58341,6896.953,95.005,526,511.635,0,02:03.0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/11/30 18:37,351616,15.15740841,0.0010466,97.4788,47.426,170.7108,189.432,0,999,348,0.00095401,0.00018178,0,4115957,0 NINJASAT,1 58341U 23174CP  23334.77631194  .00018178  00000-0  95401-3 0  9998,2 58341  97.4788  47.4260 0010466 170.7108 189.4320 15.15740841  3488,2023-174CP,58341,6896.867,95.003,525.951,511.514,0,37:53.4
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/1 21:33,886912,15.15786283,0.0010528,97.4786,48.5311,167.2242,192.9259,0,999,365,0.0011845,0.00022628,0,4116981,0 NINJASAT,1 58341U 23174CP  23335.89857508  .00022628  00000-0  11845-2 0  9995,2 58341  97.4786  48.5311 0010528 167.2242 192.9259 15.15786283  3653,2023-174CP,58341,6896.73,95,525.855,511.334,0,33:56.9
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/2 11:49,775424,15.1583622,0.0010564,97.4786,49.116,165.2924,194.8618,0,999,374,0.0018986,0.0003643,0,4117552,0 NINJASAT,1 58341U 23174CP  23336.49269416  .00036430  00000-0  18986-2 0  9996,2 58341  97.4786  49.1160 0010564 165.2924 194.8618 15.15836220  3744,2023-174CP,58341,6896.578,94.997,525.729,511.157,0,49:28.8
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/3 13:10,895552,15.15857283,0.001063,97.4787,50.1561,161.3118,198.8507,0,999,390,0.00079185,0.00015121,0,4120389,0 NINJASAT,1 58341U 23174CP  23337.54888768  .00015121  00000-0  79185-3 0  9993,2 58341  97.4787  50.1561 0010630 161.3118 198.8507 15.15857283  3909,2023-174CP,58341,6896.514,94.996,525.71,511.048,0,10:23.9
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/4 12:56,842240,15.15883201,0.0010704,97.4788,51.1313,157.6919,202.4781,0,999,405,0.00072125,0.00013775,0,4122164,0 NINJASAT,1 58341U 23174CP  23338.53904910  .00013775  00000-0  72125-3 0  9991,2 58341  97.4788  51.1313 0010704 157.6919 202.4781 15.15883201  4057,2023-174CP,58341,6896.436,94.994,525.682,510.919,0,56:13.8
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/5 3:11,130112,15.15897547,0.0010763,97.4788,51.7163,155.5086,204.666,0,999,414,0.00065795,0.00012563,0,4122741,0 NINJASAT,1 58341U 23174CP  23339.13313808  .00012563  00000-0  65795-3 0  9997,2 58341  97.4788  51.7163 0010763 155.5086 204.6660 15.15897547  4141,2023-174CP,58341,6896.392,94.993,525.68,510.834,0,11:43.1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/6 4:32,912960,15.15923436,0.001087,97.4787,52.7567,152.2432,207.9383,0,999,430,0.00060851,0.00011622,0,4124457,0 NINJASAT,1 58341U 23174CP  23340.18928140  .00011622  00000-0  60851-3 0  9998,2 58341  97.4787  52.7567 0010870 152.2432 207.9383 15.15923436  4300,2023-174CP,58341,6896.314,94.992,525.675,510.682,0,32:33.9
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/7 10:38,437536,15.15945817,0.0010898,97.4787,53.9921,148.681,211.5074,0,999,449,0.00043123,8.22E-05,0,4126739,0 NINJASAT,1 58341U 23174CP  23341.44343099  .00008218  00000-0  43123-3 0  9992,2 58341  97.4787  53.9921 0010898 148.6810 211.5074 15.15945817  4491,2023-174CP,58341,6896.246,94.99,525.626,510.595,0,38:32.4
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/8 13:34,516544,15.15965977,0.0010935,97.4789,55.0975,145.1738,215.0213,0,999,466,0.00046047,8.79E-05,0,4128726,0 NINJASAT,1 58341U 23174CP  23342.56554996  .00008786  00000-0  46047-3 0  9994,2 58341  97.4789  55.0975 0010935 145.1738 215.0213 15.15965977  4660,2023-174CP,58341,6896.184,94.989,525.59,510.509,0,34:23.5
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/9 13:20,557792,15.15982597,0.0011008,97.4791,56.073,141.8762,218.3251,0,999,481,0.00044269,8.45E-05,0,4130247,0 NINJASAT,1 58341U 23174CP  23343.55564303  .00008448  00000-0  44269-3 0  9996,2 58341  97.4791  56.0730 0011008 141.8762 218.3251 15.15982597  4817,2023-174CP,58341,6896.134,94.988,525.59,510.408,0,20:07.6
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/10 3:35,524448,15.15991946,0.0011062,97.4792,56.6582,139.9558,220.2493,0,999,490,0.00041095,7.84E-05,0,4130918,0 NINJASAT,1 58341U 23174CP  23344.14969357  .00007839  00000-0  41095-3 0  9997,2 58341  97.4792  56.6582 0011062 139.9558 220.2493 15.15991946  4908,2023-174CP,58341,6896.106,94.987,525.599,510.342,0,35:33.5
GENERATED VIA SPACETRACK.ORG API,18 SPCS,58341,NINJASAT,PAYLOAD,U,23174CP,2023/12/11 4:56,935808,15.1600735,0.0011164,97.4792,57.6987,136.3954,223.8163,0,999,506,0.00035929,6.85E-05,0,4132409,0 NINJASAT,1 58341U 23174CP  23345.20577472  .00006847  00000-0  35929-3 0  9995,2 58341  97.4792  57.6987 0011164 136.3954 223.8163 15.16007350  5061,2023-174CP,58341,6896.059,94.986,525.623,510.225,0,56:18.9
